"Player","Season","Games_Missed_Frequency_Career"
"Bradley Beal","2017-18",0.175609756097561
"Bradley Beal","2018-19",0.146341463414634
"Bradley Beal","2019-20",0.125435540069686
"Bradley Beal","2020-21",0.123824451410658
"Bradley Beal","2021-22",0.126760563380282
"Bradley Beal","2022-23",0.16540404040404
"Brandon Bass","2013-14",0.0766823161189358
"Brandon Bass","2014-15",0.0679611650485437
"Brandon Ingram","2016-17",NA
"Brandon Ingram","2017-18",0.0365853658536585
"Brandon Ingram","2018-19",0.152439024390244
"Brandon Ingram","2019-20",0.207317073170732
"Brandon Ingram","2020-21",0.185534591194969
"Brandon Ingram","2021-22",0.176923076923077
"Brandon Ingram","2022-23",0.201271186440678
"Brandon Jennings","2013-14",0.0673076923076923
"Brandon Jennings","2014-15",0.0532994923857868
"Brandon Knight","2013-14",0.0472972972972973
"Brandon Knight","2015-16",0.109324758842444
"Brandon Knight","2018-19",0.118705035971223
"Brandon Rush","2016-17",0.183098591549296
"Brian Roberts","2013-14",0.0121951219512195
"Brook Lopez","2014-15",0.207983193277311
"Brook Lopez","2015-16",0.191756272401434
"Brook Lopez","2018-19",0.157960199004975
"Brook Lopez","2019-20",0.14334085778781
"Brook Lopez","2020-21",0.13555787278415
"Brook Lopez","2021-22",0.127061105722599
"Brook Lopez","2022-23",0.178796046720575
"Bruce Brown Jr.","2018-19",NA
"Bruce Brown Jr.","2019-20",0
"Bruce Brown Jr.","2021-22",0
"Bruno Caboclo","2018-19",0.468085106382979
"Bryn Forbes","2018-19",0.24390243902439
"Bryn Forbes","2019-20",0.16260162601626
"Buddy Hield","2016-17",NA
"Buddy Hield","2018-19",0.0121951219512195
"Buddy Hield","2019-20",0.00813008130081301
"Buddy Hield","2020-21",0.00628930817610063
"Buddy Hield","2021-22",0.00769230769230769
"Buddy Hield","2022-23",0.00635593220338983
"C.J. McCollum","2015-16",0.0853658536585366
"C.J. McCollum","2016-17",0.0650406504065041
"C.J. McCollum","2017-18",0.0518292682926829
"C.J. McCollum","2018-19",0.0414634146341463
"C.J. McCollum","2019-20",0.0569105691056911
"C.J. McCollum","2020-21",0.0565371024734982
"C.J. McCollum","2021-22",0.0893416927899686
"C.J. McCollum","2022-23",0.106796116504854
"C.J. Miles","2013-14",0.134796238244514
"C.J. Miles","2014-15",0.161111111111111
"C.J. Williams","2017-18",NA
"Cade Cunningham","2021-22",NA
"Cameron Johnson","2022-23",0.180616740088106
"Caris LeVert","2016-17",NA
"Caris LeVert","2018-19",0.0914634146341463
"Caris LeVert","2020-21",0.254716981132075
"Caris LeVert","2022-23",0.246315789473684
"Carlos Boozer","2013-14",0.0941860465116279
"Carmelo Anthony","2013-14",0.0870646766169154
"Carmelo Anthony","2014-15",0.0835214446952596
"Carmelo Anthony","2015-16",0.11789038262668
"Carmelo Anthony","2016-17",0.117254528122021
"Carmelo Anthony","2017-18",0.115826702033599
"Carmelo Anthony","2019-20",0.139240506329114
"Caron Butler","2014-15",0.171548117154812
"Cedi Osman","2017-18",NA
"Cedi Osman","2018-19",0.134146341463415
"Cedi Osman","2019-20",0.103658536585366
"Chandler Parsons","2014-15",0.0608695652173913
"Channing Frye","2013-14",0.053125
"Channing Frye","2014-15",0.0470914127423823
"Chris Bosh","2013-14",0.0985037406483791
"Chris Bosh","2014-15",0.0916289592760181
"Chris Duarte","2021-22",NA
"Chris Paul","2013-14",0.129890453834116
"Chris Paul","2014-15",0.141470180305132
"Chris Paul","2015-16",0.127023661270237
"Chris Paul","2018-19",0.145853193517636
"Chris Paul","2019-20",0.152961980548187
"Chris Paul","2020-21",0.144638403990025
"Chris Paul","2021-22",0.137254901960784
"Chris Paul","2022-23",0.14075165806927
"Christian Wood","2020-21",0.072992700729927
"Clint Capela","2016-17",0.0731707317073171
"Clint Capela","2018-19",0.106707317073171
"Clint Capela","2020-21",0.16
"Clint Capela","2022-23",0.14308426073132
"Coby White","2020-21",0
"Cody Zeller","2014-15",0
"Cody Zeller","2016-17",0.113821138211382
"Cody Zeller","2018-19",0.236585365853659
"Cody Zeller","2019-20",0.26219512195122
"Cole Anthony","2020-21",NA
"Cole Anthony","2021-22",0.347222222222222
"Collin Sexton","2018-19",NA
"Collin Sexton","2019-20",0
"Collin Sexton","2020-21",0
"Corey Brewer","2013-14",0.163865546218487
"Corey Kispert","2022-23",0
"Courtney Lee","2013-14",0.0585241730279898
"Courtney Lee","2014-15",0.0546218487394958
"Courtney Lee","2015-16",0.0555555555555556
"Courtney Lee","2016-17",0.0515625
"Courtney Lee","2017-18",0.0526315789473684
"D'Angelo Russell","2015-16",NA
"D'Angelo Russell","2017-18",0.121951219512195
"D'Angelo Russell","2018-19",0.219512195121951
"D'Angelo Russell","2019-20",0.164634146341463
"D'Angelo Russell","2021-22",0.223175965665236
"D'Angelo Russell","2022-23",0.218978102189781
"D.J. Augustin","2017-18",0
"D.J. Augustin","2018-19",0
"Damian Lillard","2013-14",0
"Damian Lillard","2014-15",0
"Damian Lillard","2015-16",0
"Damian Lillard","2016-17",0.0213414634146341
"Damian Lillard","2017-18",0.0317073170731707
"Damian Lillard","2018-19",0.0447154471544715
"Damian Lillard","2019-20",0.0400696864111498
"Damian Lillard","2020-21",0.0478395061728395
"Damian Lillard","2021-22",0.05
"Damian Lillard","2022-23",0.109725685785536
"Damion Lee","2019-20",0
"Damyean Dotson","2018-19",0.121951219512195
"Daniel Gafford","2021-22",0.138686131386861
"Daniel Gafford","2022-23",0.127853881278539
"Daniel Theis","2019-20",0.140243902439024
"Daniel Theis","2020-21",0.122881355932203
"Danilo Gallinari","2014-15",0.133474576271186
"Danilo Gallinari","2015-16",0.151624548736462
"Danilo Gallinari","2016-17",0.176100628930818
"Danilo Gallinari","2017-18",0.181058495821727
"Danilo Gallinari","2018-19",0.2375
"Danilo Gallinari","2019-20",0.231292517006803
"Danilo Gallinari","2021-22",0.226120857699805
"Danny Green","2013-14",0.0923694779116466
"Danny Green","2014-15",0.11178247734139
"Danny Green","2015-16",0.0920096852300242
"Danny Green","2016-17",0.0828282828282828
"Danny Green","2017-18",0.0831889081455806
"Danny Green","2018-19",0.0895295902883156
"Danny Green","2020-21",0.0763546798029557
"Dante Cunningham","2015-16",0.0130434782608696
"Dante Cunningham","2016-17",0.0129151291512915
"Dante Exum","2014-15",NA
"Danuel House","2019-20",0
"Dario Saric","2016-17",NA
"Dario Saric","2017-18",0
"Dario Saric","2019-20",0.0161943319838057
"Darius Bazley","2020-21",NA
"Darius Bazley","2021-22",0.222222222222222
"Darius Garland","2019-20",NA
"Darius Garland","2020-21",0.0769230769230769
"Darius Garland","2021-22",0.153284671532847
"Darius Garland","2022-23",0.146118721461187
"Darius Miller","2017-18",0.0279329608938547
"Darren Collison","2014-15",0.0355329949238579
"Darren Collison","2017-18",0.0923317683881064
"Darren Collison","2018-19",0.0998613037447989
"David Lee","2013-14",0.0828125
"David West","2013-14",0.114173228346457
"David West","2014-15",0.104265402843602
"De'Aaron Fox","2017-18",NA
"De'Aaron Fox","2018-19",0.0975609756097561
"De'Aaron Fox","2019-20",0.0548780487804878
"De'Aaron Fox","2020-21",0.11864406779661
"De'Aaron Fox","2021-22",0.133116883116883
"De'Aaron Fox","2022-23",0.161538461538462
"De'Andre Hunter","2019-20",NA
"De'Andre Hunter","2021-22",0.381294964028777
"De'Andre Hunter","2022-23",0.3710407239819
"De'Anthony Melton","2018-19",NA
"DeAndre Jordan","2013-14",0.050761421319797
"DeAndre Jordan","2014-15",0.0420168067226891
"DeAndre Jordan","2015-16",0.03584229390681
"DeAndre Jordan","2016-17",0.0375
"DeAndre Jordan","2020-21",0.0473186119873817
"DeAndre Jordan","2021-22",0.0449657869012708
"DeMar DeRozan","2013-14",0.0224358974358974
"DeMar DeRozan","2014-15",0.0253807106598985
"DeMar DeRozan","2015-16",0.0672268907563025
"DeMar DeRozan","2016-17",0.0609318996415771
"DeMar DeRozan","2017-18",0.0640625
"DeMar DeRozan","2018-19",0.0581717451523546
"DeMar DeRozan","2019-20",0.0572139303482587
"DeMar DeRozan","2020-21",0.0548571428571429
"DeMar DeRozan","2021-22",0.058078141499472
"DeMar DeRozan","2022-23",0.0573372206025267
"DeMarcus Cousins","2013-14",0.0173913043478261
"DeMarcus Cousins","2014-15",0.0416666666666667
"DeMarcus Cousins","2015-16",0.0888324873096447
"DeMarcus Cousins","2018-19",0.1390625
"DeMarre Carroll","2013-14",0.308441558441558
"DeMarre Carroll","2014-15",0.264102564102564
"DeMarre Carroll","2015-16",0.239406779661017
"DeMarre Carroll","2017-18",0.279874213836478
"Deandre Ayton","2018-19",NA
"Deandre Ayton","2019-20",NA
"Deandre Ayton","2020-21",0.136986301369863
"Deandre Ayton","2021-22",0.0827586206896552
"Deandre Ayton","2022-23",0.149779735682819
"Dejounte Murray","2017-18",0.390243902439024
"Dejounte Murray","2019-20",0.134146341463415
"Dejounte Murray","2020-21",0.110410094637224
"Dejounte Murray","2021-22",0.0976863753213368
"Dejounte Murray","2022-23",0.110403397027601
"Deni Avdija","2020-21",NA
"Dennis Schroder","2016-17",0
"Dennis Schroder","2017-18",0
"Dennis Schroder","2020-21",0
"Dennis Schroder","2022-23",0
"Dennis Smith","2017-18",NA
"Denzel Valentine","2017-18",0.0487804878048781
"Deron Williams","2013-14",0.0698924731182796
"Deron Williams","2014-15",0.0875
"Deron Williams","2015-16",0.0969529085872576
"Derrick Favors","2013-14",0.0391304347826087
"Derrick Favors","2014-15",0.0576923076923077
"Derrick Favors","2015-16",0.065989847715736
"Derrick Favors","2018-19",0.1265625
"Derrick Favors","2019-20",0.119113573407202
"Derrick Jones","2020-21",0
"Derrick Rose","2014-15",0.216386554621849
"Derrick Rose","2015-16",0.240143369175627
"Derrick White","2018-19",0.548780487804878
"Derrick White","2022-23",0.216494845360825
"Desmond Bane","2021-22",0.0555555555555556
"Desmond Bane","2022-23",0.0584415584415584
"Devin Booker","2015-16",NA
"Devin Booker","2016-17",0.024390243902439
"Devin Booker","2017-18",0.0306748466257669
"Devin Booker","2018-19",0.13469387755102
"Devin Booker","2019-20",0.155963302752294
"Devin Booker","2020-21",0.135
"Devin Booker","2021-22",0.122881355932203
"Devin Booker","2022-23",0.126353790613718
"Devin Vassell","2021-22",0
"Devin Vassell","2022-23",0.0714285714285714
"Devonte' Graham","2019-20",0.134146341463415
"Devonte' Graham","2020-21",0.0816326530612245
"Dewayne Dedmon","2017-18",0.0482758620689655
"Dewayne Dedmon","2018-19",0.0913978494623656
"Dewayne Dedmon","2019-20",0.105726872246696
"Dillon Brooks","2017-18",NA
"Dillon Brooks","2019-20",0.384146341463415
"Dillon Brooks","2020-21",0.265822784810127
"Dillon Brooks","2021-22",0.220064724919094
"Dillon Brooks","2022-23",0.273657289002558
"Dirk Nowitzki","2013-14",0.0282074613284804
"Dirk Nowitzki","2014-15",0.0279424216765453
"Dirk Nowitzki","2015-16",0.0292953285827395
"Dirk Nowitzki","2016-17",0.0327137546468401
"Dirk Nowitzki","2018-19",0.0503978779840849
"Domantas Sabonis","2019-20",0.0609756097560976
"Domantas Sabonis","2020-21",0.0564263322884013
"Domantas Sabonis","2021-22",0.0716112531969309
"Domantas Sabonis","2022-23",0.0972515856236787
"Donald Sloan","2015-16",0.0355731225296443
"Donatas Motiejunas","2014-15",0.0426829268292683
"Donovan Mitchell","2017-18",NA
"Donovan Mitchell","2018-19",0.0365853658536585
"Donovan Mitchell","2019-20",0.0426829268292683
"Donovan Mitchell","2020-21",0.0338983050847458
"Donovan Mitchell","2021-22",0.0844155844155844
"Donovan Mitchell","2022-23",0.1
"Donte DiVincenzo","2020-21",0.0136986301369863
"Dorian Finney-Smith","2016-17",NA
"Dorian Finney-Smith","2018-19",0.365853658536585
