"Season","Team","Position","Player","Age","MPG","G"
"2021-22","Utah Jazz","SG","Donovan Mitchell",25,33.8,67
"2022-23","Cleveland Cavaliers","SG","Donovan Mitchell",26,35.8,68
"2020-21","Milwaukee Bucks","SG","Donte DiVincenzo",24,27.5,66
"2016-17","Dallas Mavericks","SF","Dorian Finney-Smith",23,20.3,81
"2018-19","Dallas Mavericks","SF","Dorian Finney-Smith",25,24.5,81
"2019-20","Dallas Mavericks","SF","Dorian Finney-Smith",26,29.9,71
"2020-21","Dallas Mavericks","SF","Dorian Finney-Smith",27,32,60
"2021-22","Dallas Mavericks","PF","Dorian Finney-Smith",28,33.1,80
"2022-23","Brooklyn Nets","SF","Dorian Finney-Smith",29,30.4,66
"2021-22","San Antonio Spurs","PF","Doug McDermott",30,24,51
"2017-18","Phoenix Suns","PF","Dragan Bender",20,25.2,82
"2013-14","Golden State Warriors","PF","Draymond Green",23,21.9,82
"2014-15","Golden State Warriors","PF","Draymond Green",24,31.5,79
"2015-16","Golden State Warriors","PF","Draymond Green",25,34.7,81
"2016-17","Golden State Warriors","PF","Draymond Green",26,32.5,76
"2017-18","Golden State Warriors","PF","Draymond Green",27,32.7,70
"2018-19","Golden State Warriors","PF","Draymond Green",28,31.3,66
"2019-20","Golden State Warriors","SF","Draymond Green",29,28.4,43
"2020-21","Golden State Warriors","PF","Draymond Green",30,31.5,63
"2021-22","Golden State Warriors","C","Draymond Green",31,28.9,46
"2022-23","Golden State Warriors","C","Draymond Green",32,31.5,73
"2022-23","Portland Trail Blazers","PF","Drew Eubanks",25,20.3,78
"2019-20","Miami Heat","PF","Duncan Robinson",25,29.7,73
"2020-21","Miami Heat","SF","Duncan Robinson",26,31.4,72
"2020-21","Orlando Magic","PF","Dwayne Bacon",25,25.7,72
"2014-15","Houston Rockets","C","Dwight Howard",29,29.8,41
"2015-16","Houston Rockets","C","Dwight Howard",30,32.1,71
"2016-17","Atlanta Hawks","C","Dwight Howard",31,29.7,74
"2017-18","Charlotte Hornets","C","Dwight Howard",32,30.4,81
"2017-18","Dallas Mavericks","C","Dwight Powell",26,21.2,79
"2018-19","Dallas Mavericks","C","Dwight Powell",27,21.6,77
"2019-20","Dallas Mavericks","PF","Dwight Powell",28,26.5,40
"2021-22","Dallas Mavericks","C","Dwight Powell",30,21.9,82
"2022-23","Dallas Mavericks","C","Dwight Powell",31,19.2,76
"2013-14","Miami Heat","SG","Dwyane Wade",32,32.9,54
"2014-15","Miami Heat","SG","Dwyane Wade",33,31.8,62
"2015-16","Miami Heat","SG","Dwyane Wade",34,30.5,74
"2016-17","Chicago Bulls","SF","Dwyane Wade",35,29.9,60
"2017-18","New Orleans Pelicans","SG","E'Twaun Moore",28,31.5,82
"2018-19","New Orleans Pelicans","SG","E'Twaun Moore",29,27.6,53
"2014-15","Orlando Magic","PG","Elfrid Payton",20,30.4,82
"2015-16","Orlando Magic","PG","Elfrid Payton",21,29.4,73
"2016-17","Orlando Magic","PG","Elfrid Payton",22,29.4,82
"2018-19","New Orleans Pelicans","PG","Elfrid Payton",24,29.8,42
"2020-21","New York Knicks","PG","Elfrid Payton",26,23.6,63
"2017-18","New Orleans Pelicans","C","Emeka Okafor",35,13.6,26
"2015-16","Denver Nuggets","PG","Emmanuel Mudiay",19,30.4,68
"2018-19","New York Knicks","PG","Emmanuel Mudiay",22,27.2,59
"2017-18","New York Knicks","C","Enes Freedom",25,25.8,71
"2014-15","Phoenix Suns","PG","Eric Bledsoe",25,34.6,81
"2018-19","Milwaukee Bucks","PG","Eric Bledsoe",29,29.1,78
"2019-20","Milwaukee Bucks","PG","Eric Bledsoe",30,27,61
"2020-21","New Orleans Pelicans","SG","Eric Bledsoe",31,29.7,71
"2013-14","New Orleans Pelicans","SF","Eric Gordon",25,32.1,64
"2014-15","New Orleans Pelicans","SG","Eric Gordon",26,33.1,61
"2015-16","New Orleans Pelicans","PG","Eric Gordon",27,32.9,45
"2017-18","Houston Rockets","PG","Eric Gordon",29,31.2,69
"2018-19","Houston Rockets","SG","Eric Gordon",30,31.7,68
"2021-22","Houston Rockets","SF","Eric Gordon",33,29.3,57
"2022-23","Los Angeles Clippers","SG","Eric Gordon",34,28.5,69
"2019-20","Golden State Warriors","PF","Eric Paschall",23,27.6,60
"2013-14","Milwaukee Bucks","PF","Ersan Ilyasova",26,26.9,55
"2014-15","Milwaukee Bucks","PF","Ersan Ilyasova",27,22.7,58
"2015-16","Orlando Magic","SF","Evan Fournier",23,32.5,79
"2016-17","Orlando Magic","SG","Evan Fournier",24,32.9,68
"2017-18","Orlando Magic","SG","Evan Fournier",25,32.2,57
"2018-19","Orlando Magic","SG","Evan Fournier",26,31.5,81
"2019-20","Orlando Magic","SG","Evan Fournier",27,31.5,66
"2021-22","New York Knicks","SG","Evan Fournier",29,29.5,80
"2021-22","Cleveland Cavaliers","PF","Evan Mobley",20,33.8,69
"2022-23","Cleveland Cavaliers","PF","Evan Mobley",21,34.4,79
"2014-15","Boston Celtics","SF","Evan Turner",26,27.6,82
"2015-16","Boston Celtics","SF","Evan Turner",27,28,81
"2016-17","Portland Trail Blazers","SF","Evan Turner",28,25.5,65
"2017-18","Portland Trail Blazers","SF","Evan Turner",29,25.7,79
"2013-14","Houston Rockets","SF","Francisco Garcia",32,19.7,55
"2015-16","Charlotte Hornets","PF","Frank Kaminsky",22,21.1,81
"2019-20","New York Knicks","PG","Frank Ntilikina",21,20.8,57
"2021-22","Orlando Magic","SF","Franz Wagner",20,30.7,79
"2022-23","Orlando Magic","SF","Franz Wagner",21,32.6,80
"2019-20","Toronto Raptors","PG","Fred VanVleet",25,35.7,54
"2020-21","Toronto Raptors","SG","Fred VanVleet",26,36.5,52
"2021-22","Toronto Raptors","PG","Fred VanVleet",27,37.9,65
"2022-23","Toronto Raptors","PG","Fred VanVleet",28,36.7,69
"2022-23","Miami Heat","PG","Gabe Vincent",26,25.9,68
"2015-16","Washington Wizards","SG","Garrett Temple",29,24.4,80
"2019-20","Brooklyn Nets","SG","Garrett Temple",33,27.9,62
"2021-22","Houston Rockets","PF","Garrison Mathews",25,26.3,65
"2015-16","Denver Nuggets","SG","Gary Harris",21,32.1,76
"2016-17","Denver Nuggets","SG","Gary Harris",22,31.3,57
"2017-18","Denver Nuggets","SG","Gary Harris",23,34.4,67
"2018-19","Denver Nuggets","SG","Gary Harris",24,28.8,57
"2019-20","Denver Nuggets","SG","Gary Harris",25,31.8,56
"2020-21","Orlando Magic","SG","Gary Harris",26,27.7,39
"2022-23","Orlando Magic","SG","Gary Harris",28,24.7,48
"2022-23","Golden State Warriors","SG","Gary Payton II",30,16.7,22
"2020-21","Toronto Raptors","SF","Gary Trent Jr.",22,31.1,58
"2021-22","Toronto Raptors","SG","Gary Trent Jr.",23,35,70
"2013-14","Indiana Pacers","PG","George Hill",27,32,76
"2014-15","Indiana Pacers","PG","George Hill",28,29.5,43
"2015-16","Indiana Pacers","PG","George Hill",29,34.1,74
"2013-14","Phoenix Suns","SG","Gerald Green",28,28.4,82
"2013-14","Charlotte Hornets","SG","Gerald Henderson",26,32,77
"2014-15","Charlotte Hornets","SG","Gerald Henderson",27,28.9,80
"2014-15","Milwaukee Bucks","SF","Giannis Antetokounmpo",20,31.4,81
"2015-16","Milwaukee Bucks","SF","Giannis Antetokounmpo",21,35.3,80
"2016-17","Milwaukee Bucks","PF","Giannis Antetokounmpo",22,35.6,80
"2017-18","Milwaukee Bucks","PF","Giannis Antetokounmpo",23,36.7,75
"2018-19","Milwaukee Bucks","PF","Giannis Antetokounmpo",24,32.8,72
"2019-20","Milwaukee Bucks","PF","Giannis Antetokounmpo",25,30.4,63
"2020-21","Milwaukee Bucks","PF","Giannis Antetokounmpo",26,33,61
"2021-22","Milwaukee Bucks","PF","Giannis Antetokounmpo",27,32.9,67
"2022-23","Milwaukee Bucks","PF","Giannis Antetokounmpo",28,32.1,63
"2019-20","Philadelphia 76ers","SG","Glenn Robinson III",26,28.8,62
"2013-14","Phoenix Suns","PG","Goran Dragic",27,35.1,76
"2015-16","Miami Heat","PG","Goran Dragic",29,32.8,72
"2016-17","Miami Heat","PG","Goran Dragic",30,33.7,73
"2017-18","Miami Heat","PG","Goran Dragic",31,31.7,75
"2013-14","Utah Jazz","SG","Gordon Hayward",23,36.4,77
"2014-15","Utah Jazz","SF","Gordon Hayward",24,34.4,76
"2015-16","Utah Jazz","SF","Gordon Hayward",25,36.2,80
"2016-17","Utah Jazz","SF","Gordon Hayward",26,34.5,73
"2019-20","Boston Celtics","SF","Gordon Hayward",29,33.5,52
"2020-21","Charlotte Hornets","SF","Gordon Hayward",30,34,44
"2021-22","Charlotte Hornets","SF","Gordon Hayward",31,31.9,49
"2022-23","Charlotte Hornets","PF","Gordon Hayward",32,31.5,50
"2014-15","Minnesota Timberwolves","PF","Gorgui Dieng",25,30,73
"2015-16","Minnesota Timberwolves","PF","Gorgui Dieng",26,27.1,82
"2016-17","Minnesota Timberwolves","PF","Gorgui Dieng",27,32.4,82
"2020-21","Memphis Grizzlies","SG","Grayson Allen",25,25.2,50
"2021-22","Milwaukee Bucks","SG","Grayson Allen",26,27.3,66
"2022-23","Milwaukee Bucks","SG","Grayson Allen",27,27.4,72
"2013-14","Detroit Pistons","PF","Greg Monroe",23,32.8,82
"2014-15","Detroit Pistons","PF","Greg Monroe",24,31,69
"2015-16","Milwaukee Bucks","C","Greg Monroe",25,29.3,79
"2014-15","Golden State Warriors","SF","Harrison Barnes",22,28.3,82
"2015-16","Golden State Warriors","SF","Harrison Barnes",23,30.9,66
"2017-18","Dallas Mavericks","SF","Harrison Barnes",25,34.2,77
"2018-19","Sacramento Kings","SF","Harrison Barnes",26,32.9,77
"2019-20","Sacramento Kings","SF","Harrison Barnes",27,34.5,72
"2020-21","Sacramento Kings","SF","Harrison Barnes",28,36.2,58
"2021-22","Sacramento Kings","SF","Harrison Barnes",29,33.5,77
"2022-23","Sacramento Kings","SF","Harrison Barnes",30,32.5,82
"2014-15","Miami Heat","C","Hassan Whiteside",25,23.8,48
"2015-16","Miami Heat","C","Hassan Whiteside",26,29.1,73
"2016-17","Miami Heat","C","Hassan Whiteside",27,32.6,77
"2017-18","Miami Heat","C","Hassan Whiteside",28,25.3,54
"2018-19","Miami Heat","C","Hassan Whiteside",29,23.3,72
"2019-20","Portland Trail Blazers","C","Hassan Whiteside",30,30,67
"2014-15","Philadelphia 76ers","PF","Henry Sims",24,19.2,73
"2021-22","New Orleans Pelicans","SG","Herbert Jones",23,29.9,78
"2022-23","New Orleans Pelicans","SG","Herbert Jones",24,29.6,66
"2013-14","Philadelphia 76ers","PF","Hollis Thompson",22,22.6,77
"2015-16","Indiana Pacers","C","Ian Mahinmi",29,25.6,71
"2019-20","Washington Wizards","C","Ian Mahinmi",33,21.3,38
"2013-14","New York Knicks","SG","Iman Shumpert",23,26.5,74
"2014-15","Cleveland Cavaliers","SG","Iman Shumpert",24,24.9,62
"2019-20","Washington Wizards","SG","Isaac Bonga",20,18.9,66
"2020-21","Cleveland Cavaliers","SF","Isaac Okoro",20,32.4,67
"2021-22","Cleveland Cavaliers","SG","Isaac Okoro",21,29.6,67
"2015-16","Philadelphia 76ers","PG","Isaiah Canaan",24,25.5,77
"2016-17","Chicago Bulls","PG","Isaiah Canaan",25,15.2,39
"2021-22","Detroit Pistons","C","Isaiah Stewart",20,25.6,71
"2022-23","Detroit Pistons","C","Isaiah Stewart",21,28.3,50
"2013-14","Sacramento Kings","PG","Isaiah Thomas",24,34.7,72
"2015-16","Boston Celtics","PG","Isaiah Thomas",26,32.2,82
"2016-17","Detroit Pistons","PG","Ish Smith",28,24.1,81
"2017-18","Detroit Pistons","PG","Ish Smith",29,24.9,82
"2018-19","Los Angeles Clippers","C","Ivica Zubac",21,17.6,59
"2019-20","Los Angeles Clippers","C","Ivica Zubac",22,18.4,72
"2021-22","Los Angeles Clippers","C","Ivica Zubac",24,24.4,76
"2022-23","Los Angeles Clippers","C","Ivica Zubac",25,28.6,76
"2013-14","Denver Nuggets","C","JJ Hickson",25,26.9,69
"2013-14","Los Angeles Clippers","SG","JJ Redick",29,28.2,35
"2014-15","Los Angeles Clippers","SG","JJ Redick",30,30.9,78
"2016-17","Los Angeles Clippers","PG","JJ Redick",32,28.2,78
"2018-19","Philadelphia 76ers","SG","JJ Redick",34,31.3,76
"2019-20","New Orleans Pelicans","SG","JJ Redick",35,26.4,60
"2015-16","Cleveland Cavaliers","SG","JR Smith",30,30.7,77
"2016-17","Cleveland Cavaliers","SG","JR Smith",31,29,41
"2017-18","Cleveland Cavaliers","PG","JR Smith",32,28.1,80
"2019-20","Memphis Grizzlies","PG","Ja Morant",20,31,67
"2020-21","Memphis Grizzlies","PG","Ja Morant",21,32.6,63
"2022-23","Memphis Grizzlies","PG","Ja Morant",23,31.9,61
"2014-15","Philadelphia 76ers","PG","JaKarr Sampson",21,15.3,74
"2017-18","Memphis Grizzlies","PF","JaMychal Green",27,28,55
"2018-19","Los Angeles Lakers","C","JaVale McGee",31,22.3,75
"2019-20","Los Angeles Lakers","C","JaVale McGee",32,16.6,68
"2015-16","Milwaukee Bucks","PF","Jabari Parker",20,31.7,76
"2022-23","Houston Rockets","PF","Jabari Smith Jr.",19,31,79
"2022-23","Detroit Pistons","SG","Jaden Ivey",20,31.1,74
"2015-16","Boston Celtics","SG","Jae Crowder",25,31.6,73
"2016-17","Boston Celtics","SF","Jae Crowder",26,32.4,72
"2019-20","Miami Heat","SF","Jae Crowder",29,28.8,65
"2020-21","Phoenix Suns","PF","Jae Crowder",30,27.5,60
"2021-22","Phoenix Suns","PF","Jae Crowder",31,28.1,67
"2020-21","Houston Rockets","SF","Jae'Sean Tate",25,29.2,70
"2021-22","Houston Rockets","C","Jae'Sean Tate",26,26.4,78
"2015-16","Philadelphia 76ers","C","Jahlil Okafor",20,30,53
"2020-21","San Antonio Spurs","C","Jakob Pöltl",25,26.7,69
"2021-22","San Antonio Spurs","C","Jakob Pöltl",26,29,68
"2022-23","Toronto Raptors","C","Jakob Pöltl",27,26.5,72
"2018-19","Dallas Mavericks","SG","Jalen Brunson",22,21.8,73
"2021-22","Dallas Mavericks","SG","Jalen Brunson",25,31.9,79
"2022-23","New York Knicks","PG","Jalen Brunson",26,35,68
"2022-23","Detroit Pistons","PF","Jalen Duren",19,24.9,67
"2021-22","Houston Rockets","SG","Jalen Green",19,31.9,67
"2022-23","Houston Rockets","SG","Jalen Green",20,34.2,76
"2021-22","Orlando Magic","SG","Jalen Suggs",20,27.2,48
"2022-23","Oklahoma City Thunder","PF","Jalen Williams",21,30.3,75
"2016-17","Denver Nuggets","PG","Jamal Murray",19,21.5,82
"2017-18","Denver Nuggets","PG","Jamal Murray",20,31.7,81
"2018-19","Denver Nuggets","PG","Jamal Murray",21,32.6,75
"2019-20","Denver Nuggets","PG","Jamal Murray",22,32.3,59
"2020-21","Denver Nuggets","PG","Jamal Murray",23,35.5,48
"2022-23","Denver Nuggets","PG","Jamal Murray",25,32.8,65
"2013-14","Orlando Magic","PG","Jameer Nelson",31,32,68
"2013-14","Philadelphia 76ers","SF","James Anderson",24,28.9,80
"2016-17","Memphis Grizzlies","SF","James Ennis III",26,23.5,64
"2020-21","Orlando Magic","SF","James Ennis III",30,24,41
"2013-14","Houston Rockets","SG","James Harden",24,38,73
"2014-15","Houston Rockets","SG","James Harden",25,36.8,81
"2015-16","Houston Rockets","SG","James Harden",26,38.1,82
"2016-17","Houston Rockets","SG","James Harden",27,36.4,81
"2017-18","Houston Rockets","SG","James Harden",28,35.4,72
"2018-19","Houston Rockets","SF","James Harden",29,36.8,78
"2019-20","Houston Rockets","SG","James Harden",30,36.5,68
"2020-21","Brooklyn Nets","SG","James Harden",31,36.6,44
"2021-22","Philadelphia 76ers","PG","James Harden",32,37.2,65
"2022-23","Philadelphia 76ers","PG","James Harden",33,36.8,58
"2016-17","Miami Heat","PF","James Johnson",29,27.4,76
"2017-18","Miami Heat","PF","James Johnson",30,26.6,73
"2018-19","Miami Heat","SF","James Johnson",31,21.2,55
"2015-16","Washington Wizards","SF","Jared Dudley",30,25.9,81
"2013-14","Boston Celtics","C","Jared Sullinger",21,27.6,74
"2017-18","Memphis Grizzlies","SF","Jarell Martin",23,22.8,73
"2018-19","Memphis Grizzlies","PF","Jaren Jackson Jr.",19,26.1,58
"2019-20","Memphis Grizzlies","SF","Jaren Jackson Jr.",20,28.5,57
"2021-22","Memphis Grizzlies","PF","Jaren Jackson Jr.",22,27.3,78
"2022-23","Memphis Grizzlies","PF","Jaren Jackson Jr.",23,28.4,63
"2021-22","Minnesota Timberwolves","PF","Jarred Vanderbilt",22,25.4,74
"2018-19","Brooklyn Nets","C","Jarrett Allen",20,26.2,80
"2019-20","Brooklyn Nets","C","Jarrett Allen",21,26.5,70
"2020-21","Cleveland Cavaliers","C","Jarrett Allen",22,29.6,63
"2021-22","Cleveland Cavaliers","C","Jarrett Allen",23,32.3,56
"2022-23","Cleveland Cavaliers","C","Jarrett Allen",24,32.6,68
"2019-20","Minnesota Timberwolves","SF","Jarrett Culver",20,23.9,63
"2013-14","Cleveland Cavaliers","SG","Jarrett Jack",30,28.2,80
"2014-15","New York Knicks","C","Jason Smith",28,21.8,82
"2015-16","Houston Rockets","PG","Jason Terry",38,17.5,72
"2013-14","Sacramento Kings","PF","Jason Thompson",27,24.5,82
"2014-15","Sacramento Kings","PF","Jason Thompson",28,24.6,81
"2021-22","New Orleans Pelicans","PF","Jaxson Hayes",21,20,70
"2017-18","Boston Celtics","SG","Jaylen Brown",21,30.7,70
"2019-20","Boston Celtics","SG","Jaylen Brown",23,33.9,57
"2020-21","Boston Celtics","SF","Jaylen Brown",24,34.5,58
"2021-22","Boston Celtics","SG","Jaylen Brown",25,33.6,66
"2022-23","Boston Celtics","SG","Jaylen Brown",26,35.9,67
"2022-23","Oklahoma City Thunder","C","Jaylin Williams",20,18.7,49
"2017-18","Boston Celtics","SF","Jayson Tatum",19,30.5,80
"2018-19","Boston Celtics","SF","Jayson Tatum",20,31.1,79
"2019-20","Boston Celtics","PF","Jayson Tatum",21,34.3,66
"2020-21","Boston Celtics","PF","Jayson Tatum",22,35.8,64
"2021-22","Boston Celtics","SF","Jayson Tatum",23,35.9,76
"2022-23","Boston Celtics","SF","Jayson Tatum",24,36.9,74
"2013-14","Boston Celtics","SF","Jeff Green",27,34.2,82
"2018-19","Washington Wizards","PF","Jeff Green",32,27.2,77
"2020-21","Brooklyn Nets","PF","Jeff Green",34,27,68
"2021-22","Denver Nuggets","PF","Jeff Green",35,24.7,75
"2013-14","Atlanta Hawks","PG","Jeff Teague",25,32.2,79
"2014-15","Atlanta Hawks","PG","Jeff Teague",26,30.5,73
"2015-16","Atlanta Hawks","PG","Jeff Teague",27,28.5,79
"2016-17","Indiana Pacers","PG","Jeff Teague",28,32.4,82
"2017-18","Minnesota Timberwolves","PG","Jeff Teague",29,33,70
"2018-19","Minnesota Timberwolves","PG","Jeff Teague",30,30.1,42
"2015-16","Philadelphia 76ers","SG","Jerami Grant",21,26.8,77
"2018-19","Oklahoma City Thunder","PF","Jerami Grant",24,32.7,80
"2020-21","Detroit Pistons","PF","Jerami Grant",26,33.9,54
"2021-22","Detroit Pistons","PF","Jerami Grant",27,31.9,47
"2022-23","Portland Trail Blazers","SF","Jerami Grant",28,35.7,63
"2021-22","Oklahoma City Thunder","C","Jeremiah Robinson-Earl",21,22.2,49
"2018-19","Charlotte Hornets","SG","Jeremy Lamb",26,28.5,79
"2019-20","Indiana Pacers","SG","Jeremy Lamb",27,28.1,46
"2013-14","Houston Rockets","PG","Jeremy Lin",25,28.9,71
"2016-17","Brooklyn Nets","PG","Jeremy Lin",28,24.5,36
"2022-23","San Antonio Spurs","PF","Jeremy Sochan",19,26,56
"2016-17","Chicago Bulls","SG","Jerian Grant",24,16.3,63
"2017-18","Philadelphia 76ers","SG","Jerryd Bayless",29,23.7,39
"2013-14","Chicago Bulls","SG","Jimmy Butler",24,38.7,67
"2014-15","Chicago Bulls","SG","Jimmy Butler",25,38.7,65
"2015-16","Chicago Bulls","SG","Jimmy Butler",26,36.9,67
"2017-18","Minnesota Timberwolves","SG","Jimmy Butler",28,36.7,59
"2018-19","Philadelphia 76ers","SF","Jimmy Butler",29,33.6,65
"2019-20","Miami Heat","SG","Jimmy Butler",30,33.8,58
"2020-21","Miami Heat","PF","Jimmy Butler",31,33.6,52
"2021-22","Miami Heat","SF","Jimmy Butler",32,33.9,57
"2022-23","Miami Heat","SF","Jimmy Butler",33,33.4,64
"2013-14","Chicago Bulls","C","Joakim Noah",28,35.3,80
"2014-15","Chicago Bulls","C","Joakim Noah",29,30.6,67
"2013-14","Los Angeles Lakers","SG","Jodie Meeks",26,33.2,77
"2018-19","Brooklyn Nets","SG","Joe Harris",27,30.2,76
"2019-20","Brooklyn Nets","SF","Joe Harris",28,30.8,69
"2020-21","Brooklyn Nets","SF","Joe Harris",29,31,69
"2016-17","Utah Jazz","SG","Joe Ingles",29,24,82
"2017-18","Utah Jazz","SF","Joe Ingles",30,31.4,82
"2018-19","Utah Jazz","SF","Joe Ingles",31,31.3,82
"2019-20","Utah Jazz","SG","Joe Ingles",32,29.7,72
"2013-14","Brooklyn Nets","SF","Joe Johnson",32,32.6,79
"2014-15","Brooklyn Nets","SG","Joe Johnson",33,34.9,80
"2015-16","Miami Heat","SF","Joe Johnson",34,33.4,81
"2017-18","Philadelphia 76ers","C","Joel Embiid",23,30.3,63
"2018-19","Philadelphia 76ers","C","Joel Embiid",24,33.7,64
"2019-20","Philadelphia 76ers","C","Joel Embiid",25,29.5,51
"2020-21","Philadelphia 76ers","C","Joel Embiid",26,31.1,51
"2021-22","Philadelphia 76ers","C","Joel Embiid",27,33.8,68
"2022-23","Philadelphia 76ers","C","Joel Embiid",28,34.6,66
"2018-19","Atlanta Hawks","PF","John Collins",21,30,61
"2019-20","Atlanta Hawks","PF","John Collins",22,33.2,41
"2020-21","Atlanta Hawks","PF","John Collins",23,29.3,63
"2021-22","Atlanta Hawks","C","John Collins",24,30.8,54
"2022-23","Atlanta Hawks","PF","John Collins",25,30,71
"2017-18","Milwaukee Bucks","C","John Henson",27,25.9,76
"2013-14","Washington Wizards","PG","John Wall",23,36.3,82
"2014-15","Washington Wizards","PG","John Wall",24,35.9,79
"2015-16","Washington Wizards","PG","John Wall",25,36.2,77
"2016-17","Washington Wizards","PG","John Wall",26,36.4,78
"2017-18","Washington Wizards","PG","John Wall",27,34.4,41
"2020-21","Houston Rockets","SG","John Wall",30,32.2,40
"2016-17","Detroit Pistons","PF","Jon Leuer",27,25.9,75
"2015-16","Boston Celtics","PF","Jonas Jerebko",28,15.1,78
"2017-18","Utah Jazz","PF","Jonas Jerebko",30,15.3,74
"2013-14","Toronto Raptors","C","Jonas Valančiūnas",21,28.2,81
"2014-15","Toronto Raptors","C","Jonas Valančiūnas",22,26.2,80
"2015-16","Toronto Raptors","C","Jonas Valančiūnas",23,26,60
"2016-17","Toronto Raptors","C","Jonas Valančiūnas",24,25.8,80
"2017-18","Toronto Raptors","C","Jonas Valančiūnas",25,22.4,77
"2019-20","Memphis Grizzlies","C","Jonas Valančiūnas",27,26.4,70
"2020-21","Memphis Grizzlies","C","Jonas Valančiūnas",28,28.3,62
"2021-22","New Orleans Pelicans","C","Jonas Valančiūnas",29,30.3,74
"2022-23","New Orleans Pelicans","C","Jonas Valančiūnas",30,24.9,79
"2018-19","Orlando Magic","PF","Jonathan Isaac",21,26.6,75
"2019-20","Orlando Magic","PF","Jonathan Isaac",22,28.8,34
"2016-17","San Antonio Spurs","SG","Jonathon Simmons",27,17.8,78
"2017-18","Orlando Magic","SF","Jonathon Simmons",28,29.4,69
"2017-18","Golden State Warriors","C","Jordan Bell",23,14.2,57
"2014-15","Los Angeles Lakers","PG","Jordan Clarkson",22,25,59
"2015-16","Los Angeles Lakers","SG","Jordan Clarkson",23,32.3,79
"2016-17","Los Angeles Lakers","SG","Jordan Clarkson",24,29.2,82
"2022-23","Utah Jazz","PG","Jordan Clarkson",30,32.6,61
"2015-16","Memphis Grizzlies","PG","Jordan Farmar",29,24.3,12
"2013-14","Los Angeles Lakers","PF","Jordan Hill",26,20.8,72
"2014-15","Los Angeles Lakers","C","Jordan Hill",27,26.8,70
"2013-14","Dallas Mavericks","PG","Jose Calderon",32,30.5,81
"2014-15","New York Knicks","PG","Jose Calderon",33,30.2,42
"2015-16","New York Knicks","PG","Jose Calderon",34,28.1,72
"2021-22","Oklahoma City Thunder","SF","Josh Giddey",19,31.5,54
"2022-23","Oklahoma City Thunder","PG","Josh Giddey",20,31.1,76
"2017-18","Los Angeles Lakers","SF","Josh Hart",22,23.2,63
"2021-22","Portland Trail Blazers","PF","Josh Hart",26,33.2,54
"2020-21","Detroit Pistons","SG","Josh Jackson",23,25.2,62
"2013-14","Charlotte Hornets","PF","Josh McRoberts",26,30.3,78
"2018-19","Minnesota Timberwolves","SG","Josh Okogie",20,23.7,74
"2019-20","Minnesota Timberwolves","PF","Josh Okogie",21,25,62
"2020-21","Minnesota Timberwolves","SF","Josh Okogie",22,20.3,59
"2022-23","Phoenix Suns","SF","Josh Okogie",24,18.8,72
"2016-17","Miami Heat","SG","Josh Richardson",23,30.5,53
"2017-18","Miami Heat","SF","Josh Richardson",24,33.2,81
"2018-19","Miami Heat","SG","Josh Richardson",25,34.8,73
"2020-21","Dallas Mavericks","SG","Josh Richardson",27,30.3,59
"2013-14","Detroit Pistons","SF","Josh Smith",28,35.5,77
"2013-14","New Orleans Pelicans","SG","Jrue Holiday",23,33.6,34
"2016-17","New Orleans Pelicans","PG","Jrue Holiday",26,32.7,67
"2017-18","New Orleans Pelicans","PG","Jrue Holiday",27,36.1,81
"2018-19","New Orleans Pelicans","SF","Jrue Holiday",28,35.9,67
"2019-20","New Orleans Pelicans","SF","Jrue Holiday",29,34.7,61
"2020-21","Milwaukee Bucks","PG","Jrue Holiday",30,32.3,59
"2021-22","Milwaukee Bucks","PG","Jrue Holiday",31,33,67
"2022-23","Milwaukee Bucks","PG","Jrue Holiday",32,32.6,67
"2015-16","Los Angeles Lakers","PF","Julius Randle",21,28.2,81
"2016-17","Los Angeles Lakers","PF","Julius Randle",22,28.8,74
"2018-19","New Orleans Pelicans","PF","Julius Randle",24,30.6,73
"2019-20","New York Knicks","C","Julius Randle",25,32.5,64
"2020-21","New York Knicks","PF","Julius Randle",26,37.6,71
"2021-22","New York Knicks","PF","Julius Randle",27,35.3,72
"2022-23","New York Knicks","PF","Julius Randle",28,35.5,77
"2016-17","Philadelphia 76ers","SF","Justin Anderson",23,16.4,75
"2016-17","Brooklyn Nets","C","Justin Hamilton",26,18.4,64
"2017-18","Chicago Bulls","SG","Justin Holiday",28,31.5,72
"2018-19","Memphis Grizzlies","SG","Justin Holiday",29,31.8,82
"2020-21","Indiana Pacers","SF","Justin Holiday",31,30.3,72
"2021-22","Sacramento Kings","SG","Justin Holiday",32,27.8,74
"2017-18","Sacramento Kings","SF","Justin Jackson",22,22.1,68
"2018-19","Miami Heat","PG","Justise Winslow",22,29.7,66
"2014-15","Denver Nuggets","C","Jusuf Nurkić",20,17.8,62
"2018-19","Portland Trail Blazers","C","Jusuf Nurkić",24,27.4,72
"2021-22","Portland Trail Blazers","C","Jusuf Nurkić",27,28.2,56
"2022-23","Portland Trail Blazers","C","Jusuf Nurkić",28,26.8,52
"2015-16","Minnesota Timberwolves","C","Karl-Anthony Towns",20,32,82
"2016-17","Minnesota Timberwolves","C","Karl-Anthony Towns",21,37,82
"2017-18","Minnesota Timberwolves","C","Karl-Anthony Towns",22,35.6,82
"2018-19","Minnesota Timberwolves","C","Karl-Anthony Towns",23,33.1,77
"2019-20","Minnesota Timberwolves","C","Karl-Anthony Towns",24,33.9,35
