"Season","Team","Position","Player","Age","MPG","G"
"2020-21","Minnesota Timberwolves","PF","Anthony Edwards",19,32.1,72
"2021-22","Minnesota Timberwolves","SF","Anthony Edwards",20,34.3,72
"2022-23","Minnesota Timberwolves","SG","Anthony Edwards",21,36,79
"2013-14","Orlando Magic","SF","Arron Afflalo",28,35,73
"2014-15","Portland Trail Blazers","SG","Arron Afflalo",29,32.1,78
"2015-16","New York Knicks","SG","Arron Afflalo",30,33.4,71
"2022-23","Los Angeles Lakers","SF","Austin Reaves",24,28.8,64
"2015-16","Los Angeles Clippers","SG","Austin Rivers",23,21.9,67
"2016-17","Los Angeles Clippers","SG","Austin Rivers",24,27.8,74
"2013-14","Boston Celtics","SG","Avery Bradley",23,30.9,60
"2014-15","Boston Celtics","SG","Avery Bradley",24,31.5,77
"2016-17","Boston Celtics","SG","Avery Bradley",26,33.4,55
"2019-20","Los Angeles Lakers","SG","Avery Bradley",29,24.2,49
"2021-22","Los Angeles Lakers","SG","Avery Bradley",31,22.7,62
"2019-20","Miami Heat","C","Bam Adebayo",22,33.6,72
"2020-21","Miami Heat","C","Bam Adebayo",23,33.5,64
"2021-22","Miami Heat","C","Bam Adebayo",24,32.6,56
"2022-23","Miami Heat","C","Bam Adebayo",25,34.6,75
"2013-14","Sacramento Kings","SF","Ben McLemore",20,26.7,82
"2014-15","Sacramento Kings","SG","Ben McLemore",21,32.6,82
"2015-16","Sacramento Kings","SG","Ben McLemore",22,21.2,68
"2017-18","Philadelphia 76ers","PG","Ben Simmons",21,33.7,81
"2018-19","Philadelphia 76ers","PG","Ben Simmons",22,34.2,79
"2019-20","Philadelphia 76ers","PG","Ben Simmons",23,35.4,57
"2020-21","Philadelphia 76ers","PG","Ben Simmons",24,32.4,58
"2015-16","Toronto Raptors","PF","Bismack Biyombo",23,22,82
"2020-21","Charlotte Hornets","C","Bismack Biyombo",28,20.4,66
"2013-14","Los Angeles Clippers","PF","Blake Griffin",24,35.8,80
"2014-15","Los Angeles Clippers","PF","Blake Griffin",25,35.2,67
"2015-16","Los Angeles Clippers","PF","Blake Griffin",26,33.4,35
"2018-19","Detroit Pistons","PF","Blake Griffin",29,35,75
"2017-18","Sacramento Kings","SG","Bogdan Bogdanović",25,27.9,78
"2020-21","Atlanta Hawks","SG","Bogdan Bogdanović",28,29.7,44
"2014-15","Brooklyn Nets","SF","Bojan Bogdanović",25,23.8,78
"2015-16","Brooklyn Nets","SF","Bojan Bogdanović",26,26.8,79
"2017-18","Indiana Pacers","SF","Bojan Bogdanović",28,30.8,80
"2018-19","Indiana Pacers","SF","Bojan Bogdanović",29,31.8,81
"2019-20","Utah Jazz","SF","Bojan Bogdanović",30,33.1,63
"2020-21","Utah Jazz","SF","Bojan Bogdanović",31,30.8,72
"2021-22","Utah Jazz","SF","Bojan Bogdanović",32,30.9,69
"2022-23","Detroit Pistons","SF","Bojan Bogdanović",33,32.1,59
"2016-17","Utah Jazz","PF","Boris Diaw",34,17.6,73
"2013-14","Washington Wizards","SG","Bradley Beal",20,34.7,73
"2014-15","Washington Wizards","SG","Bradley Beal",21,33.4,63
"2016-17","Washington Wizards","SG","Bradley Beal",23,34.9,77
"2017-18","Washington Wizards","SF","Bradley Beal",24,36.3,82
"2018-19","Washington Wizards","SG","Bradley Beal",25,36.9,82
"2019-20","Washington Wizards","PG","Bradley Beal",26,36,57
"2020-21","Washington Wizards","SG","Bradley Beal",27,35.8,60
"2021-22","Washington Wizards","PG","Bradley Beal",28,36,40
"2022-23","Washington Wizards","SG","Bradley Beal",29,33.5,50
"2013-14","Boston Celtics","PF","Brandon Bass",28,27.6,82
"2014-15","Boston Celtics","PF","Brandon Bass",29,23.5,82
"2016-17","Los Angeles Lakers","SF","Brandon Ingram",19,28.8,79
"2017-18","Los Angeles Lakers","PF","Brandon Ingram",20,33.5,59
"2018-19","Los Angeles Lakers","SG","Brandon Ingram",21,33.8,52
"2019-20","New Orleans Pelicans","PF","Brandon Ingram",22,33.9,62
"2020-21","New Orleans Pelicans","SF","Brandon Ingram",23,34.3,61
"2021-22","New Orleans Pelicans","SF","Brandon Ingram",24,34,55
"2022-23","New Orleans Pelicans","SF","Brandon Ingram",25,34.2,45
"2013-14","Detroit Pistons","PG","Brandon Jennings",24,34.1,80
"2014-15","Detroit Pistons","PG","Brandon Jennings",25,28.6,41
"2013-14","Milwaukee Bucks","PG","Brandon Knight",22,33.3,72
"2015-16","Phoenix Suns","PG","Brandon Knight",24,36,52
