"Date","Team","Acquired","Relinquished","Notes","Player","Season"
2015-12-08,"Magic","","• Aaron Gordon","ankle injury (DTD)","Aaron Gordon","2015-16"
2015-12-09,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2015-16"
2016-04-07,"Magic","","• Aaron Gordon","concussion (DTD)","Aaron Gordon","2015-16"
2016-04-08,"Magic","","• Aaron Gordon","placed on IL with concussion","Aaron Gordon","2015-16"
2016-04-13,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2015-16"
2017-02-08,"Magic","","• Aaron Gordon","bone bruise in right foot (DTD)","Aaron Gordon","2016-17"
2017-02-13,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2016-17"
2017-10-20,"Magic","","• Aaron Gordon","placed on IL with sore left ankle","Aaron Gordon","2017-18"
2017-10-24,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2017-18"
2017-12-09,"Magic","","• Aaron Gordon","concussion (DTD)","Aaron Gordon","2017-18"
2017-12-13,"Magic","","• Aaron Gordon","placed on IL with concussion","Aaron Gordon","2017-18"
2017-12-15,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2017-18"
2017-12-16,"Magic","","• Aaron Gordon","strained right calf (DTD)","Aaron Gordon","2017-18"
2017-12-17,"Magic","","• Aaron Gordon","placed on IL with strained right calf (DTD)","Aaron Gordon","2017-18"
2017-12-28,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2017-18"
2018-01-30,"Magic","","• Aaron Gordon","strained left hip flexor (DTD)","Aaron Gordon","2017-18"
2018-02-22,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2017-18"
2018-03-09,"Magic","","• Aaron Gordon","concussion (DTD)","Aaron Gordon","2017-18"
2018-03-19,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2017-18"
2018-04-06,"Magic","","• Aaron Gordon","sore right calf (DTD)","Aaron Gordon","2017-18"
2018-04-08,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2017-18"
2018-11-11,"Magic","","• Aaron Gordon","placed on IL with sprained left ankle","Aaron Gordon","2018-19"
2018-11-12,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2018-19"
2018-11-28,"Magic","","• Aaron Gordon","placed on IL with tightness in lower back","Aaron Gordon","2018-19"
2018-11-30,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2018-19"
2019-01-19,"Magic","","• Aaron Gordon","sore lower back (DTD)","Aaron Gordon","2018-19"
2019-01-21,"Magic","","• Aaron Gordon","placed on IL with sore lower back","Aaron Gordon","2018-19"
2019-01-23,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2018-19"
2019-11-21,"Magic","","• Aaron Gordon","bruised right ankle (out indefinitely)","Aaron Gordon","2019-20"
2019-11-23,"Magic","","• Aaron Gordon","placed on IL with bruised right ankle","Aaron Gordon","2019-20"
2019-11-29,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2019-20"
2019-12-30,"Magic","","• Aaron Gordon","placed on IL with left Achilles injury","Aaron Gordon","2019-20"
2020-01-03,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2019-20"
2020-01-10,"Magic","","• Aaron Gordon","placed on IL with right calf injury","Aaron Gordon","2019-20"
2020-01-13,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2019-20"
2020-03-02,"Magic","","• Aaron Gordon","placed on IL with right knee inflammation","Aaron Gordon","2019-20"
2020-03-04,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2019-20"
2021-01-08,"Magic","","• Aaron Gordon","left hamstring injury (DTD)","Aaron Gordon","2020-21"
2021-01-09,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2020-21"
2021-01-24,"Magic","","• Aaron Gordon","hip injury (DTD)","Aaron Gordon","2020-21"
2021-01-25,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2020-21"
2021-02-01,"Magic","","• Aaron Gordon","placed on IL with sprained left ankle","Aaron Gordon","2020-21"
2021-03-11,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2020-21"
2021-03-12,"Magic","","• Aaron Gordon","left ankle injury (DTD)","Aaron Gordon","2020-21"
2021-03-18,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2020-21"
2021-03-26,"Nuggets","","• Aaron Gordon","placed on IL with NBA health and safety protocols","Aaron Gordon","2020-21"
2021-03-28,"Nuggets","• Aaron Gordon","","activated from IL","Aaron Gordon","2020-21"
2021-12-23,"Nuggets","","• Aaron Gordon","placed on IL with left hamstring injury","Aaron Gordon","2021-22"
2022-01-01,"Nuggets","• Aaron Gordon","","activated from IL","Aaron Gordon","2021-22"
2022-02-02,"Nuggets","","• Aaron Gordon","placed on IL with left hamstring injury","Aaron Gordon","2021-22"
2022-02-03,"Nuggets","• Aaron Gordon","","activated from IL","Aaron Gordon","2021-22"
2022-02-04,"Nuggets","","• Aaron Gordon","placed on IL with left hamstring injury","Aaron Gordon","2021-22"
2022-02-06,"Nuggets","• Aaron Gordon","","activated from IL","Aaron Gordon","2021-22"
2022-03-12,"Nuggets","","• Aaron Gordon","placed on IL with sore right foot","Aaron Gordon","2021-22"
2022-03-14,"Nuggets","• Aaron Gordon","","activated from IL","Aaron Gordon","2021-22"
2022-04-10,"Nuggets","","• Aaron Gordon","placed on IL with left hamstring injury (out for season)","Aaron Gordon","2021-22"
2022-11-16,"Nuggets","","• Aaron Gordon","placed on IL with illness","Aaron Gordon","2022-23"
2022-11-22,"Nuggets","• Aaron Gordon","","activated from IL","Aaron Gordon","2022-23"
2022-12-27,"Nuggets","","• Aaron Gordon","placed on IL with strained right shoulder","Aaron Gordon","2022-23"
2022-12-30,"Nuggets","• Aaron Gordon","","activated from IL","Aaron Gordon","2022-23"
2023-02-02,"Nuggets","","• Aaron Gordon","placed on IL with sprained left ankle","Aaron Gordon","2022-23"
2023-02-04,"Nuggets","• Aaron Gordon","","activated from IL","Aaron Gordon","2022-23"
2023-02-05,"Nuggets","","• Aaron Gordon","placed on IL with sprained left ankle","Aaron Gordon","2022-23"
2023-02-07,"Nuggets","• Aaron Gordon","","activated from IL","Aaron Gordon","2022-23"
2023-02-11,"Nuggets","","• Aaron Gordon","placed on IL with bruised left ribcage","Aaron Gordon","2022-23"
2023-02-26,"Nuggets","• Aaron Gordon","","activated from IL","Aaron Gordon","2022-23"
2023-04-06,"Nuggets","","• Aaron Gordon","placed on IL with right shoulder inflammation","Aaron Gordon","2022-23"
2023-04-08,"Nuggets","• Aaron Gordon","","activated from IL","Aaron Gordon","2022-23"
2022-10-29,"Pacers","","• Aaron Nesmith","right foot injury (DTD)","Aaron Nesmith","2022-23"
2022-11-09,"Pacers","• Aaron Nesmith","","returned to lineup","Aaron Nesmith","2022-23"
2022-12-23,"Pacers","","• Aaron Nesmith","placed on IL with sprained right ankle","Aaron Nesmith","2022-23"
2022-12-26,"Pacers","• Aaron Nesmith","","activated from IL","Aaron Nesmith","2022-23"
2023-01-11,"Pacers","","• Aaron Nesmith","placed on IL with illness","Aaron Nesmith","2022-23"
2023-01-14,"Pacers","• Aaron Nesmith","","activated from IL","Aaron Nesmith","2022-23"
2023-03-05,"Pacers","","• Aaron Nesmith","placed on IL with sore left hip","Aaron Nesmith","2022-23"
2023-03-09,"Pacers","• Aaron Nesmith","","activated from IL","Aaron Nesmith","2022-23"
2014-12-30,"Hawks","","• Al Horford","illness (DTD)","Al Horford","2014-15"
2015-01-02,"Hawks","• Al Horford","","returned to lineup","Al Horford","2014-15"
2015-01-14,"Hawks","","• Al Horford","placed on IL for rest","Al Horford","2014-15"
2015-01-16,"Hawks","• Al Horford","","activated from IL","Al Horford","2014-15"
2015-02-28,"Hawks","","• Al Horford","family reasons (DTD)","Al Horford","2014-15"
2015-03-03,"Hawks","• Al Horford","","returned to lineup","Al Horford","2014-15"
2015-03-16,"Hawks","","• Al Horford","rest (DTD)","Al Horford","2014-15"
2015-03-18,"Hawks","• Al Horford","","returned to lineup","Al Horford","2014-15"
2015-03-28,"Hawks","","• Al Horford","rest (DTD)","Al Horford","2014-15"
2015-03-30,"Hawks","• Al Horford","","returned to lineup","Al Horford","2014-15"
2015-04-12,"Hawks","","• Al Horford","rest (DTD)","Al Horford","2014-15"
2015-04-13,"Hawks","• Al Horford","","returned to lineup","Al Horford","2014-15"
2016-11-02,"Celtics","","• Al Horford","placed on IL with concussion","Al Horford","2016-17"
2016-11-19,"Celtics","• Al Horford","","activated from IL","Al Horford","2016-17"
2016-11-28,"Celtics","","• Al Horford","placed on IL for personal reasons","Al Horford","2016-17"
2016-11-30,"Celtics","• Al Horford","","activated from IL","Al Horford","2016-17"
2016-12-02,"Celtics","• Al Horford","","activated from IL","Al Horford","2016-17"
2017-01-27,"Celtics","","• Al Horford","groin injury (DTD)","Al Horford","2016-17"
2017-01-27,"Celtics","","• Al Horford","placed on IL with sore left groin","Al Horford","2016-17"
2017-01-30,"Celtics","• Al Horford","","activated from IL","Al Horford","2016-17"
2017-03-05,"Celtics","","• Al Horford","placed on IL with sprained right elbow","Al Horford","2016-17"
2017-03-08,"Celtics","• Al Horford","","activated from IL","Al Horford","2016-17"
2017-11-08,"Celtics","","• Al Horford","placed on IL with concussion","Al Horford","2017-18"
2017-11-12,"Celtics","• Al Horford","","activated from IL","Al Horford","2017-18"
2017-12-13,"Celtics","","• Al Horford","placed on IL for rest","Al Horford","2017-18"
2017-12-15,"Celtics","• Al Horford","","activated from IL","Al Horford","2017-18"
2018-01-06,"Celtics","","• Al Horford","sore left calf / knee injury (DTD)","Al Horford","2017-18"
2018-01-11,"Celtics","• Al Horford","","returned to lineup","Al Horford","2017-18"
2018-01-24,"Celtics","","• Al Horford","concussion (DTD)","Al Horford","2017-18"
2018-01-27,"Celtics","• Al Horford","","returned to lineup","Al Horford","2017-18"
2018-03-11,"Celtics","","• Al Horford","placed on IL with illness","Al Horford","2017-18"
2018-03-16,"Celtics","• Al Horford","","activated from IL","Al Horford","2017-18"
2018-03-28,"Celtics","","• Al Horford","ankle injury (DTD)","Al Horford","2017-18"
2018-03-31,"Celtics","• Al Horford","","returned to lineup","Al Horford","2017-18"
2018-04-06,"Celtics","","• Al Horford","placed on IL for rest","Al Horford","2017-18"
2018-04-08,"Celtics","• Al Horford","","activated from IL","Al Horford","2017-18"
2018-04-11,"Celtics","","• Al Horford","placed on IL for rest","Al Horford","2017-18"
2018-04-15,"Celtics","• Al Horford","","activated from IL","Al Horford","2017-18"
2018-11-23,"Celtics","","• Al Horford","placed on IL with sore left knee","Al Horford","2018-19"
2018-11-24,"Celtics","• Al Horford","","activated from IL","Al Horford","2018-19"
2018-11-30,"Celtics","","• Al Horford","placed on IL","Al Horford","2018-19"
2018-12-01,"Celtics","• Al Horford","","activated from IL","Al Horford","2018-19"
2018-12-08,"Celtics","","• Al Horford","sore left knee (DTD)","Al Horford","2018-19"
2018-12-10,"Celtics","","• Al Horford","placed on IL with sore left knee","Al Horford","2018-19"
2018-12-23,"Celtics","• Al Horford","","activated from IL","Al Horford","2018-19"
2019-01-23,"Celtics","","• Al Horford","placed on IL","Al Horford","2018-19"
2019-01-26,"Celtics","• Al Horford","","activated from IL","Al Horford","2018-19"
2019-03-22,"Celtics","","• Al Horford","sore left knee (DTD)","Al Horford","2018-19"
2019-03-23,"Celtics","","• Al Horford","placed on IL with sore left knee","Al Horford","2018-19"
2019-03-26,"Celtics","• Al Horford","","activated from IL","Al Horford","2018-19"
2019-03-30,"Celtics","","• Al Horford","placed on IL with sore left knee","Al Horford","2018-19"
2019-04-01,"Celtics","• Al Horford","","activated from IL","Al Horford","2018-19"
2019-04-08,"Celtics","","• Al Horford","sore left knee (DTD)","Al Horford","2018-19"
2019-04-09,"Celtics","","• Al Horford","placed on IL with sore left knee","Al Horford","2018-19"
2019-04-14,"Celtics","• Al Horford","","activated from IL","Al Horford","2018-19"
2019-12-12,"76ers","","• Al Horford","sore left knee (DTD)","Al Horford","2019-20"
2019-12-13,"76ers","","• Al Horford","placed on IL with sore left knee","Al Horford","2019-20"
2019-12-15,"76ers","• Al Horford","","activated from IL","Al Horford","2019-20"
2020-01-30,"76ers","","• Al Horford","placed on IL with sore left knee","Al Horford","2019-20"
2020-02-01,"76ers","• Al Horford","","activated from IL","Al Horford","2019-20"
2021-01-13,"Thunder","","• Al Horford","placed on IL for personal reasons","Al Horford","2020-21"
2021-01-27,"Thunder","• Al Horford","","activated from IL","Al Horford","2020-21"
2021-10-19,"Celtics","","• Al Horford","placed on IL with NBA health and safety protocols","Al Horford","2021-22"
2021-10-22,"Celtics","• Al Horford","","activated from IL","Al Horford","2021-22"
2021-10-25,"Celtics","","• Al Horford","placed on IL with strained left adductor","Al Horford","2021-22"
2021-10-27,"Celtics","• Al Horford","","activated from IL","Al Horford","2021-22"
2021-11-13,"Celtics","","• Al Horford","placed on IL with sore lower back","Al Horford","2021-22"
2021-11-15,"Celtics","• Al Horford","","activated from IL","Al Horford","2021-22"
2021-12-04,"Celtics","","• Al Horford","placed on IL with back injury","Al Horford","2021-22"
2021-12-06,"Celtics","• Al Horford","","activated from IL","Al Horford","2021-22"
2021-12-17,"Celtics","","• Al Horford","placed on IL with NBA health and safety protocols","Al Horford","2021-22"
2021-12-26,"Celtics","• Al Horford","","activated from IL","Al Horford","2021-22"
2022-03-26,"Celtics","","• Al Horford","placed on IL for personal reasons","Al Horford","2021-22"
2022-03-29,"Celtics","• Al Horford","","activated from IL","Al Horford","2021-22"
2022-04-07,"Celtics","","• Al Horford","placed on IL with sore lower back","Al Horford","2021-22"
2022-04-09,"Celtics","• Al Horford","","activated from IL","Al Horford","2021-22"
2022-11-28,"Celtics","","• Al Horford","placed on IL with tightness in lower back","Al Horford","2022-23"
2022-11-30,"Celtics","• Al Horford","","activated from IL","Al Horford","2022-23"
2022-12-05,"Celtics","","• Al Horford","placed on IL with lower back injury","Al Horford","2022-23"
2022-12-16,"Celtics","• Al Horford","","activated from IL","Al Horford","2022-23"
2023-01-12,"Celtics","","• Al Horford","placed on IL with lower back injury","Al Horford","2022-23"
2023-01-14,"Celtics","• Al Horford","","activated from IL","Al Horford","2022-23"
2023-01-24,"Celtics","","• Al Horford","placed on IL with lower back injury","Al Horford","2022-23"
2023-01-25,"Celtics","• Al Horford","","activated from IL","Al Horford","2022-23"
2023-02-08,"Celtics","","• Al Horford","placed on IL with swollen right knee","Al Horford","2022-23"
2023-02-12,"Celtics","• Al Horford","","activated from IL","Al Horford","2022-23"
2023-02-14,"Celtics","","• Al Horford","placed on IL with swollen right knee","Al Horford","2022-23"
2023-02-15,"Celtics","• Al Horford","","activated from IL","Al Horford","2022-23"
2023-03-06,"Celtics","","• Al Horford","lower back injury (DTD)","Al Horford","2022-23"
2023-03-07,"Celtics","• Al Horford","","returned to lineup","Al Horford","2022-23"
2023-03-18,"Celtics","","• Al Horford","lower back injury (DTD)","Al Horford","2022-23"
2023-03-20,"Celtics","• Al Horford","","returned to lineup","Al Horford","2022-23"
2023-03-31,"Celtics","","• Al Horford","placed on IL with lower back injury","Al Horford","2022-23"
2023-04-03,"Celtics","• Al Horford","","activated from IL","Al Horford","2022-23"
2023-04-05,"Celtics","","• Al Horford","placed on IL with tightness in lower back","Al Horford","2022-23"
2023-04-06,"Celtics","• Al Horford","","activated from IL","Al Horford","2022-23"
2023-04-08,"Celtics","","• Al Horford","placed on IL with back injury","Al Horford","2022-23"
2023-04-15,"Celtics","• Al Horford","","activated from IL","Al Horford","2022-23"
2013-11-01,"Bobcats","","• Al Jefferson","placed on IL with sprained right ankle","Al Jefferson","2013-14"
2013-11-11,"Bobcats","• Al Jefferson","","activated from IL","Al Jefferson","2013-14"
2013-11-15,"Bobcats","","• Al Jefferson","placed on IL with ankle injury","Al Jefferson","2013-14"
2013-11-22,"Bobcats","• Al Jefferson","","activated from IL","Al Jefferson","2013-14"
2014-04-28,"Bobcats","","• Al Jefferson","strained plantar fascia in left foot (DNP)","Al Jefferson","2013-14"
2014-12-31,"Hornets","","• Al Jefferson","strained adductor muscle in left groin (out indefinitely)","Al Jefferson","2014-15"
2014-12-31,"Hornets","","• Al Jefferson","placed on IL with strained adductor muscle in left groin","Al Jefferson","2014-15"
2015-01-19,"Hornets","• Al Jefferson","","activated from IL","Al Jefferson","2014-15"
2015-03-13,"Hornets","","• Al Jefferson","placed on IL with strained right knee / right calf injury (P)","Al Jefferson","2014-15"
2015-03-16,"Hornets","• Al Jefferson","","activated from IL","Al Jefferson","2014-15"
2015-04-04,"Hornets","","• Al Jefferson","sore right knee (out for season)","Al Jefferson","2014-15"
2015-11-30,"Hornets","","• Al Jefferson","strained left calf (out indefinitely)","Al Jefferson","2015-16"
2015-12-02,"Hornets","","• Al Jefferson","placed on IL with strained left calf","Al Jefferson","2015-16"
2015-12-16,"Hornets","• Al Jefferson","","activated from IL","Al Jefferson","2015-16"
2015-12-30,"Hornets","","• Al Jefferson","torn lateral meniscus in right knee (out indefinitely)","Al Jefferson","2015-16"
2015-12-31,"Hornets","","• Al Jefferson","surgery on right knee to repair torn lateral meniscus (out indefinitely)","Al Jefferson","2015-16"
2016-01-01,"Hornets","","• Al Jefferson","placed on IL recovering from surgery on right knee to repair torn lateral meniscus","Al Jefferson","2015-16"
2016-02-19,"Hornets","• Al Jefferson","","activated from IL","Al Jefferson","2015-16"
2016-04-03,"Hornets","","• Al Jefferson","placed on IL with bruised right quadriceps","Al Jefferson","2015-16"
2016-04-05,"Hornets","• Al Jefferson","","activated from IL","Al Jefferson","2015-16"
2017-11-02,"Blazers","","• Al-Farouq Aminu","placed on IL with sprained right ankle","Al-Farouq Aminu","2017-18"
2017-11-30,"Blazers","• Al-Farouq Aminu","","activated from IL","Al-Farouq Aminu","2017-18"
2021-12-12,"Knicks","","• Alec Burks","placed on IL for personal reasons","Alec Burks","2021-22"
2021-12-13,"Knicks","• Alec Burks","","activated from IL","Alec Burks","2021-22"
2017-10-22,"Lakers","","• Alex Caruso","placed on IL","Alex Caruso","2017-18"
2017-12-20,"Lakers","• Alex Caruso","","activated from IL","Alex Caruso","2017-18"
2018-01-05,"Lakers","","• Alex Caruso","placed on IL","Alex Caruso","2017-18"
2018-01-17,"Lakers","• Alex Caruso","","activated from IL","Alex Caruso","2017-18"
2018-02-15,"Lakers","","• Alex Caruso","placed on IL","Alex Caruso","2017-18"
2018-02-24,"Lakers","• Alex Caruso","","activated from IL","Alex Caruso","2017-18"
2018-02-26,"Lakers","","• Alex Caruso","placed on IL","Alex Caruso","2017-18"
2018-03-07,"Lakers","• Alex Caruso","","activated from IL","Alex Caruso","2017-18"
2021-11-22,"Bulls","","• Alex Caruso","placed on IL with left wrist injury","Alex Caruso","2021-22"
2021-11-24,"Bulls","• Alex Caruso","","activated from IL","Alex Caruso","2021-22"
2021-12-06,"Bulls","","• Alex Caruso","placed on IL with strained right hamstring","Alex Caruso","2021-22"
2021-12-11,"Bulls","• Alex Caruso","","activated from IL","Alex Caruso","2021-22"
2021-12-21,"Bulls","","• Alex Caruso","placed on IL with sprained left foot","Alex Caruso","2021-22"
2022-01-19,"Bulls","• Alex Caruso","","activated from IL","Alex Caruso","2021-22"
2022-01-22,"Bulls","","• Alex Caruso","fractured right wrist (out indefinitely)","Alex Caruso","2021-22"
2022-01-24,"Bulls","","• Alex Caruso","placed on IL with fractured right wrist","Alex Caruso","2021-22"
2022-03-12,"Bulls","• Alex Caruso","","activated from IL","Alex Caruso","2021-22"
2022-04-06,"Bulls","","• Alex Caruso","placed on IL with bruised lower back","Alex Caruso","2021-22"
2022-04-16,"Bulls","• Alex Caruso","","activated from IL","Alex Caruso","2021-22"
2022-04-27,"Bulls","","• Alex Caruso","placed on IL with concussion protocol (out for season)","Alex Caruso","2021-22"
2014-10-07,"Suns","","• Alex Len","fractured right pinky finger (out indefinitely)","Alex Len","2014-15"
2015-02-06,"Suns","","• Alex Len","sprained right ankle (out indefinitely)","Alex Len","2014-15"
2015-02-20,"Suns","• Alex Len","","returned to lineup","Alex Len","2014-15"
2015-03-07,"Suns","","• Alex Len","sprained right ankle (DTD)","Alex Len","2014-15"
2015-03-09,"Suns","• Alex Len","","returned to lineup","Alex Len","2014-15"
2015-03-14,"Suns","","• Alex Len","sprained right ankle (DTD)","Alex Len","2014-15"
2015-03-21,"Suns","• Alex Len","","returned to lineup","Alex Len","2014-15"
2015-04-02,"Suns","","• Alex Len","fractured nose (out for season)","Alex Len","2014-15"
2015-04-04,"Suns","","• Alex Len","placed on IL with fractured nose (out for season)","Alex Len","2014-15"
2015-04-07,"Suns","• Alex Len","","activated from IL","Alex Len","2014-15"
2015-04-07,"Suns","","• Alex Len","fractured nose (out for season)","Alex Len","2014-15"
2016-01-12,"Suns","","• Alex Len","sprained left hand (DTD)","Alex Len","2015-16"
2016-01-19,"Suns","• Alex Len","","returned to lineup","Alex Len","2015-16"
2016-02-19,"Suns","","• Alex Len","sprained right ankle (DTD)","Alex Len","2015-16"
2016-02-21,"Suns","• Alex Len","","returned to lineup","Alex Len","2015-16"
2016-12-12,"Suns","","• Alex Len","bruised right hip (DTD)","Alex Len","2016-17"
2016-12-15,"Suns","","• Alex Len","placed on IL","Alex Len","2016-17"
2016-12-17,"Suns","• Alex Len","","activated from IL","Alex Len","2016-17"
2017-03-11,"Suns","","• Alex Len","hip injury (DTD)","Alex Len","2016-17"
2017-03-12,"Suns","","• Alex Len","bruised right hip (DTD)","Alex Len","2016-17"
2017-03-15,"Suns","• Alex Len","","returned to lineup","Alex Len","2016-17"
2021-01-14,"Raptors","","• Alex Len","placed on IL for personal reasons","Alex Len","2020-21"
2021-01-17,"Raptors","","• Alex Len","placed on IL for NBA health and safety protocols","Alex Len","2020-21"
2021-01-19,"Raptors","• Alex Len","","activated from IL","Alex Len","2020-21"
2016-11-17,"Pelicans","","• Alexis Ajinca / Alex Ajinca","strained left shoulder (DTD)","Alexis Ajinca","2016-17"
2016-11-27,"Pelicans","• Alexis Ajinca / Alex Ajinca","","returned to lineup","Alexis Ajinca","2016-17"
2017-01-14,"Pelicans","","• Alexis Ajinca / Alex Ajinca","placed on IL","Alexis Ajinca","2016-17"
2017-01-16,"Pelicans","• Alexis Ajinca / Alex Ajinca","","activated from IL","Alexis Ajinca","2016-17"
2017-01-20,"Pelicans","","• Alexis Ajinca / Alex Ajinca","placed on IL","Alexis Ajinca","2016-17"
2017-01-23,"Pelicans","• Alexis Ajinca / Alex Ajinca","","activated from IL","Alexis Ajinca","2016-17"
2017-02-10,"Pelicans","","• Alexis Ajinca / Alex Ajinca","personal reasons (DTD)","Alexis Ajinca","2016-17"
2017-02-12,"Pelicans","• Alexis Ajinca / Alex Ajinca","","returned to lineup","Alexis Ajinca","2016-17"
2017-03-19,"Pelicans","","• Alexis Ajinca / Alex Ajinca","personal reasons (DTD)","Alexis Ajinca","2016-17"
2017-03-21,"Pelicans","• Alexis Ajinca / Alex Ajinca","","returned to lineup","Alexis Ajinca","2016-17"
2017-03-31,"Pelicans","","• Alexis Ajinca / Alex Ajinca","hip injury (DTD)","Alexis Ajinca","2016-17"
2017-04-02,"Pelicans","• Alexis Ajinca / Alex Ajinca","","returned to lineup","Alexis Ajinca","2016-17"
2017-11-26,"Nets","","• Allen Crabbe","sore lower back (DTD)","Allen Crabbe","2017-18"
2017-12-02,"Nets","• Allen Crabbe","","returned to lineup","Allen Crabbe","2017-18"
2017-12-15,"Nets","","• Allen Crabbe","sore left ankle / knee (DTD)","Allen Crabbe","2017-18"
2017-12-17,"Nets","• Allen Crabbe","","returned to lineup","Allen Crabbe","2017-18"
2018-03-16,"Nets","","• Allen Crabbe","placed on IL with illness","Allen Crabbe","2017-18"
2018-03-19,"Nets","• Allen Crabbe","","activated from IL","Allen Crabbe","2017-18"
2018-04-03,"Nets","","• Allen Crabbe","placed on IL with illness","Allen Crabbe","2017-18"
2018-04-05,"Nets","• Allen Crabbe","","activated from IL","Allen Crabbe","2017-18"
2016-03-29,"Pelicans","","• Alonzo Gee","torn right quadricep (out for season)","Alonzo Gee","2015-16"
2022-10-24,"Rockets","","• Alperen Sengun","illness (DTD)","Alperen Sengun","2022-23"
2023-03-13,"Rockets","","• Alperen Sengun","placed on IL with strained left groin","Alperen Sengun","2022-23"
2023-03-15,"Rockets","• Alperen Sengun","","activated from IL","Alperen Sengun","2022-23"
2014-02-10,"Raptors","","• Amir Johnson","placed on IL with ankle injury","Amir Johnson","2013-14"
2014-02-18,"Raptors","• Amir Johnson","","activated from IL","Amir Johnson","2013-14"
2014-04-04,"Raptors","","• Amir Johnson","placed on IL with right ankle injury","Amir Johnson","2013-14"
2014-04-11,"Raptors","• Amir Johnson","","activated from IL","Amir Johnson","2013-14"
2014-11-02,"Raptors","","• Amir Johnson","placed on IL with sprained left ankle","Amir Johnson","2014-15"
2014-11-07,"Raptors","• Amir Johnson","","activated from IL","Amir Johnson","2014-15"
2015-01-30,"Raptors","","• Amir Johnson","placed on IL","Amir Johnson","2014-15"
2015-04-04,"Raptors","","• Amir Johnson","sprained right ankle (DTD)","Amir Johnson","2014-15"
2015-04-08,"Raptors","","• Amir Johnson","placed on IL with sprained right ankle","Amir Johnson","2014-15"
2015-04-14,"Raptors","• Amir Johnson","","activated from IL","Amir Johnson","2014-15"
2015-12-21,"Celtics","","• Amir Johnson","placed on IL with foot injury","Amir Johnson","2015-16"
2015-12-26,"Celtics","• Amir Johnson","","activated from IL","Amir Johnson","2015-16"
2016-01-22,"Celtics","","• Amir Johnson","personal reasons (DTD)","Amir Johnson","2015-16"
2016-01-24,"Celtics","• Amir Johnson","","returned to lineup","Amir Johnson","2015-16"
2017-01-11,"Celtics","","• Amir Johnson","sprained left ankle (DTD)","Amir Johnson","2016-17"
2017-01-13,"Celtics","• Amir Johnson","","returned to lineup","Amir Johnson","2016-17"
2017-04-08,"Celtics","","• Amir Johnson","placed on IL with illness","Amir Johnson","2016-17"
2017-04-10,"Celtics","• Amir Johnson","","activated from IL","Amir Johnson","2016-17"
2014-01-28,"Cavaliers","","• Anderson Varejao","placed on IL with bruised left knee","Anderson Varejao","2013-14"
2014-02-01,"Cavaliers","• Anderson Varejao","","activated from IL","Anderson Varejao","2013-14"
2014-02-01,"Cavaliers","","• Anderson Varejao","bruised left knee (DNP)","Anderson Varejao","2013-14"
2014-02-11,"Cavaliers","","• Anderson Varejao","sore back (DNP)","Anderson Varejao","2013-14"
2014-02-12,"Cavaliers","","• Anderson Varejao","placed on IL with sore back","Anderson Varejao","2013-14"
2014-02-18,"Cavaliers","• Anderson Varejao","","activated from IL","Anderson Varejao","2013-14"
2014-02-18,"Cavaliers","","• Anderson Varejao","sore back (DNP)","Anderson Varejao","2013-14"
2014-02-21,"Cavaliers","","• Anderson Varejao","sore back (DNP)","Anderson Varejao","2013-14"
2014-02-23,"Cavaliers","","• Anderson Varejao","placed on IL with sore back","Anderson Varejao","2013-14"
2014-03-08,"Cavaliers","• Anderson Varejao","","activated from IL","Anderson Varejao","2013-14"
2014-04-02,"Cavaliers","","• Anderson Varejao","sprained AC joint in right shoulder (DNP)","Anderson Varejao","2013-14"
2014-04-16,"Cavaliers","","• Anderson Varejao","DNP","Anderson Varejao","2013-14"
2014-03-19,"Pistons","","• Andre Drummond","strained neck (DNP)","Andre Drummond","2013-14"
2016-04-13,"Pistons","","• Andre Drummond","rest (DTD)","Andre Drummond","2015-16"
2016-11-14,"Pistons","","• Andre Drummond","placed on IL with sore/sprained right ankle","Andre Drummond","2016-17"
2016-11-16,"Pistons","• Andre Drummond","","activated from IL","Andre Drummond","2016-17"
2018-01-03,"Pistons","","• Andre Drummond","bruised right rib (DTD)","Andre Drummond","2017-18"
2018-01-05,"Pistons","• Andre Drummond","","returned to lineup","Andre Drummond","2017-18"
