"Date","MP","Rolling_Avg_MP","Season","Player","Team","Position","Age","MPG","G","Travel","Distance","Injury_Indicator","Injury_Severity","Injury_Notes","PG","SG","SF","PF","C","Is_2019_20","Is_2020_21","Is_2021_22","treatment","distance_average","Is_3rd_Game_in_4_Days","Is_4th_Game_in_5_Days","Is_5th_Game_in_7_Days","Season_Phase","Early_Treatment","Mid_Treatment","Late_Treatment","Total_Early_Treatment","Total_Mid_Treatment","Total_Late_Treatment","Rows_In_Phase","Total_Games","Frequency_Early","Frequency_Mid","Frequency_Late","Total_Treatment_Frequency"
2022-10-22,22.9666666666667,22.0833333333333,"2022-23","Alperen Sengun","Houston Rockets","C",20,28.9,75,1,1006,1,6,"illness (DTD)",0,0,0,0,1,0,0,0,0,853.5,1,0,0,"Early",0,0,0,0,0,0,3,12,0,0,0.25,0.0833333333333333
2013-11-02,32.6,24.3,"2013-14","Amir Johnson","Toronto Raptors","PF",26,28.8,77,1,671,0,0,"",0,0,0,1,0,0,0,0,0,703,1,0,0,"Early",0,0,0,0,0,0,5,17,0,0,0,0
2013-11-02,29.1166666666667,34.6,"2013-14","Anderson Varejao","Cleveland Cavaliers","C",31,27.7,65,1,430,0,0,"",0,0,0,0,1,0,0,0,0,433.5,1,0,0,"Early",0,0,0,0,0,0,8,15,0,0,0,0
2013-11-12,28.5666666666667,34.0933333333333,"2013-14","Andre Drummond","Detroit Pistons","C",20,32.3,81,1,537,0,0,"",0,0,0,0,1,0,0,0,0,1249,0,0,0,"Early",0,0,0,0,0,0,7,20,0,0,0,0
2013-10-31,42.8166666666667,35.3166666666667,"2013-14","Andre Iguodala","Golden State Warriors","SF",30,32.4,63,1,339,0,0,"",0,0,1,0,0,0,0,0,0,169.5,0,0,0,"Early",0,0,0,0,0,0,2,11,0,0,0.4,0.181818181818182
2014-10-30,37.1833333333333,36.0583333333333,"2014-15","Andre Roberson","Oklahoma City Thunder","SG",23,19.2,67,1,821,0,0,"",0,1,0,0,0,0,0,0,0,1153,0,0,0,"Early",0,0,0,0,0,0,3,13,0,0,0,0
2013-10-31,24.6333333333333,20.8916666666667,"2013-14","Andrea Bargnani","New York Knicks","PF",28,29.9,42,1,718,0,0,"",0,0,0,1,0,0,0,0,0,359,0,0,0,"Early",0,0,0,0,0,0,6,10,0,0,-Inf,0
2014-11-02,31.5333333333333,18.0666666666667,"2014-15","Andrew Bogut","Golden State Warriors","C",30,23.6,67,1,537,0,0,"",0,0,0,0,1,0,0,0,0,307,0,0,0,"Early",0,0,0,0,0,0,4,17,0,0.2,0.125,0.117647058823529
2017-10-26,20.15,17.9888888888889,"2017-18","Andrew Harrison","Memphis Grizzlies","PG",23,23.7,56,1,419,0,0,"",1,0,0,0,0,0,0,0,0,321.5,1,0,0,"Early",0,0,0,0,0,0,3,12,0,0.142857142857143,0.5,0.166666666666667
2022-10-22,9.26666666666667,0,"2022-23","Andrew Nembhard","Indiana Pacers","SG",23,27.6,75,0,0,0,0,"",0,1,0,0,0,0,0,0,0,0,0,0,0,"Early",0,0,0,0,0,0,5,12,0,0,0,0
2014-10-30,23.8,21.175,"2014-15","Andrew Wiggins","Minnesota Timberwolves","SF",19,36.2,82,1,702,0,0,"",0,0,1,0,0,0,0,0,0,702,0,0,0,"Early",0,0,0,0,0,0,6,19,0,0,0,0
2021-11-01,29.3333333333333,22.8066666666667,"2021-22","Anfernee Simons","Portland Trail Blazers","SG",22,29.5,57,1,456,0,0,"",0,1,0,0,0,0,0,1,0,1371.5,1,0,0,"Early",0,0,0,0,0,0,6,12,0.166666666666667,0,0,0.0833333333333333
2013-11-02,36.6666666666667,37.7333333333333,"2013-14","Anthony Davis","New Orleans Pelicans","C",20,35.2,67,1,527,0,0,"",0,0,0,0,1,0,0,0,0,527,1,0,0,"Early",0,0,0,0,0,0,4,16,0,0.142857142857143,0.2,0.125
2020-12-27,28.5333333333333,25.15,"2020-21","Anthony Edwards","Minnesota Timberwolves","PF",19,32.1,72,1,582,0,0,"",0,0,0,1,0,0,1,0,0,784,0,0,0,"Early",0,0,0,0,0,0,5,16,0,0,0,0
2013-10-30,41.0666666666667,37.025,"2013-14","Arron Afflalo","Orlando Magic","SF",28,35,73,1,510,0,0,"",0,0,1,0,0,0,0,0,0,668,0,0,0,"Early",0,0,0,0,0,0,7,15,0,0,0,0
2022-11-07,29.8,27.36,"2022-23","Austin Reaves","Los Angeles Lakers","SF",24,28.8,64,1,582,0,0,"",0,0,1,0,0,0,0,0,0,291,1,0,0,"Early",0,0,0,0,0,0,3,7,0,0,0,0
