"Player","Season","Frequency_Early","Frequency_Mid","Frequency_Late","Total_Treatment_Frequency","Early_Quantile","Mid_Quantile","Late_Quantile","Total_Quantile","Injury_Frequency","Games_Missed_Frequency"
"Terrence Ross","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0.0123456790123457,0.0121951219512195
"Terrence Ross","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Terrence Ross","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0.0128205128205128,0.0125
"Terry Rozier","2019-20",0,0,0,0,"Q1","Q1","Q1","Q1",0.0317460317460317,0.0153846153846154
"Terry Rozier","2020-21",0,0,0.166666666666667,0.0625,"Q1","Q1","Q2","Q2",0.0144927536231884,0.0277777777777778
"Terry Rozier","2021-22",0,0,0,0,"Q1","Q1","Q1","Q1",0.0273972602739726,0.0975609756097561
"Terry Rozier","2022-23",0,0,0,0,"Q1","Q1","Q1","Q1",0.0634920634920635,0.195121951219512
"Thabo Sefolosha","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0.0491803278688525,0.25609756097561
"Thaddeus Young","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0.0126582278481013,0.0365853658536585
"Thaddeus Young","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0.0263157894736842,0.0843373493975904
"Thaddeus Young","2015-16",0,0,0.666666666666667,0.153846153846154,"Q1","Q1","Q3","Q3",0.0136986301369863,0.0731707317073171
"Thaddeus Young","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0.027027027027027,0.0975609756097561
"Thaddeus Young","2017-18",0,0,0,0,"Q1","Q1","Q1","Q1",0.0123456790123457,0.0121951219512195
"Thaddeus Young","2018-19",0,0,0,0,"Q1","Q1","Q1","Q1",0.0123456790123457,0
"Theo Maledon","2020-21",0.25,0.166666666666667,0,0.117647058823529,"Q2","Q2","Q1","Q2",0.0307692307692308,0.0694444444444444
"Thomas Bryant","2018-19",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Thomas Bryant","2019-20",0,-Inf,0.666666666666667,0.4,"Q1",NA,"Q3","Q3",0.0526315789473684,0.375
"Thon Maker","2016-17",-Inf,0.166666666666667,0,0.0833333333333333,NA,"Q2","Q1","Q2",0,0
"Tiago Splitter","2013-14",0,0,0.2,0.0769230769230769,"Q1","Q1","Q2","Q2",0.0508474576271186,0.24390243902439
"Tiago Splitter","2014-15",1,0.142857142857143,0,0.153846153846154,"Q3","Q2","Q1","Q3",0,0
"Tim Duncan","2013-14",0.375,0.2,0.5,0.368421052631579,"Q3","Q2","Q3","Q3",0.0135135135135135,0
"Tim Duncan","2014-15",0.5,0.142857142857143,0,0.238095238095238,"Q3","Q2","Q1","Q3",0,0
"Tim Duncan","2015-16",0.2,0.5,0.2,0.25,"Q2","Q3","Q2","Q3",0.131147540983607,0.207317073170732
"Tim Hardaway Jr.","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0.0428571428571429,0.146341463414634
"Tim Hardaway Jr.","2016-17",0,0,0.142857142857143,0.0555555555555556,"Q1","Q1","Q2","Q2",0.0126582278481013,0.024390243902439
"Tim Hardaway Jr.","2017-18",0,0.666666666666667,0,0.25,"Q1","Q3","Q1","Q3",0.0350877192982456,0.268292682926829
"Tim Hardaway Jr.","2019-20",0,0,0,0,"Q1","Q1","Q1","Q1",0.0317460317460317,0.0597014925373134
"Tim Hardaway Jr.","2022-23",0,0,0,0,"Q1","Q1","Q1","Q1",0.0845070422535211,0.109756097560976
"Timofey Mozgov","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Timothe Luwawu-Cabarrot","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0.0144927536231884,0.024390243902439
"Tobias Harris","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0.0588235294117647,0.158536585365854
"Tobias Harris","2015-16",0,0,0.111111111111111,0.0555555555555556,"Q1","Q1","Q2","Q2",0.0131578947368421,0.0375
"Tobias Harris","2018-19",0,0,0.2,0.0666666666666667,"Q1","Q1","Q2","Q2",0,0
"Tobias Harris","2019-20",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Tobias Harris","2020-21",0,0,0.2,0.0833333333333333,"Q1","Q1","Q2","Q2",0.0645161290322581,0.111111111111111
"Tobias Harris","2021-22",0,0,0,0,"Q1","Q1","Q1","Q1",0.0410958904109589,0.109756097560976
"Tobias Harris","2022-23",0,0.5,0.2,0.181818181818182,"Q1","Q3","Q2","Q3",0.0405405405405405,0.0487804878048781
"Tomas Satoransky","2017-18",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Tomas Satoransky","2018-19",0,0,0,0,"Q1","Q1","Q1","Q1",0.0125,0.024390243902439
"Tomas Satoransky","2019-20",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Tony Allen","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0.0545454545454545,0.317073170731707
"Tony Allen","2014-15",0,0,0.166666666666667,0.0769230769230769,"Q1","Q1","Q2","Q2",0.0634920634920635,0.195121951219512
"Tony Allen","2015-16",0,0,0,0,"Q1","Q1","Q1","Q1",0.0625,0.207317073170732
"Tony Parker","2013-14",0,0.2,0,0.0666666666666667,"Q1","Q2","Q1","Q2",0,0
"Tony Parker","2014-15",0.2,0,0,0.0666666666666667,"Q2","Q1","Q1","Q2",0,0
"Tony Parker","2015-16",0,0.25,0.4,0.230769230769231,"Q1","Q2","Q3","Q3",0,0
"Tony Snell","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0.0125,0
"Tony Snell","2017-18",0,0,0,0,"Q1","Q1","Q1","Q1",0.0266666666666667,0.0853658536585366
"Tony Snell","2019-20",0,0,0,0,"Q1","Q1","Q1","Q1",0.0338983050847458,0.106060606060606
"Tony Wroten","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Trae Young","2018-19",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Trae Young","2019-20",0,0,0.333333333333333,0.0909090909090909,"Q1","Q1","Q3","Q2",0.0833333333333333,0.0895522388059701
"Trae Young","2020-21",0.25,0,0.166666666666667,0.142857142857143,"Q2","Q1","Q2","Q3",0.0476190476190476,0.0972222222222222
"Trae Young","2021-22",0,0.333333333333333,0,0.0666666666666667,"Q1","Q3","Q1","Q2",0.0394736842105263,0.0609756097560976
"Trae Young","2022-23",0,0.6,0.2,0.307692307692308,"Q1","Q3","Q2","Q3",0.0547945205479452,0.0365853658536585
"Tre Jones","2022-23",0.2,0,0.666666666666667,0.25,"Q2","Q1","Q3","Q3",0.0294117647058824,0.0731707317073171
"Trevor Ariza","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0.012987012987013,0.0609756097560976
"Trevor Ariza","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Trevor Ariza","2015-16",0.125,0,0,0.05,"Q2","Q1","Q1","Q2",0,0
"Trevor Ariza","2016-17",0,0,0.333333333333333,0.0625,"Q1","Q1","Q3","Q2",0.0125,0.0121951219512195
"Trevor Ariza","2018-19",0,0.142857142857143,0,0.0714285714285714,"Q1","Q2","Q1","Q2",0.0579710144927536,0.146341463414634
"Trey Burke","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Trey Burke","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0.0526315789473684,0.0731707317073171
"Trey Lyles","2019-20",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Trey Murphy III","2022-23",0,0,0,0,"Q1","Q1","Q1","Q1",0.0253164556962025,0.0365853658536585
"Tristan Thompson","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Tristan Thompson","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Tristan Thompson","2015-16",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Tristan Thompson","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0.0128205128205128,0.0487804878048781
"Tristan Thompson","2017-18",0,0,0,0,"Q1","Q1","Q1","Q1",0.0566037735849057,0.353658536585366
"Tristan Thompson","2018-19",0,0,-Inf,0,"Q1","Q1",NA,"Q1",0.0465116279069767,0.439024390243902
"Tristan Thompson","2020-21",0.25,0,0,0.1,"Q2","Q1","Q1","Q2",0.0740740740740741,0.222222222222222
"Ty Lawson","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0.0806451612903226,0.231707317073171
"Ty Lawson","2014-15",0,0,0.375,0.142857142857143,"Q1","Q1","Q3","Q3",0.04,0.0365853658536585
"Ty Lawson","2016-17",0,0.166666666666667,0.25,0.125,"Q1","Q2","Q2","Q3",0.072463768115942,0.0975609756097561
"Tyler Ennis","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Tyler Johnson","2017-18",0,0.166666666666667,0,0.0833333333333333,"Q1","Q2","Q1","Q2",0.0555555555555556,0.109756097560976
"Tyler Ulis","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Tyler Zeller","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Tyreke Evans","2014-15",0,0,0.125,0.05,"Q1","Q1","Q2","Q2",0.0253164556962025,0.024390243902439
"Tyrese Haliburton","2021-22",0,0,0,0,"Q1","Q1","Q1","Q1",0.025974025974026,0.0487804878048781
"Tyrese Haliburton","2022-23",0,0,0,0,"Q1","Q1","Q1","Q1",0.0892857142857143,0.304878048780488
"Tyrese Maxey","2021-22",0,0,0,0,"Q1","Q1","Q1","Q1",0.04,0.0853658536585366
"Tyrese Maxey","2022-23",0,0.5,0,0.111111111111111,"Q1","Q3","Q1","Q2",0.0333333333333333,0.24390243902439
"Tyson Chandler","2013-14",0,0,0.142857142857143,0.0833333333333333,"Q1","Q1","Q2","Q2",0.0545454545454545,0.317073170731707
"Tyson Chandler","2014-15",0,0.166666666666667,0.25,0.125,"Q1","Q2","Q2","Q3",0.04,0.0609756097560976
"Tyson Chandler","2015-16",0,0,0,0,"Q1","Q1","Q1","Q1",0.0757575757575758,0.182926829268293
