"Notes"	"County"	"County Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
"Total"	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Male"	"M"			522	29180	1788.9
"Total"	"Alamance County, NC"	"37001"	"White"	"2106-3"					830	70393	1179.1
"Total"	"Alamance County, NC"	"37001"							988	82238	1201.4
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Female"	"F"	"1979"	"1979"	0	54	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Female"	"F"	"1980"	"1980"	0	52	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Female"	"F"	"1981"	"1981"	0	54	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Female"	"F"	"1982"	"1982"	0	57	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Female"	"F"	"1983"	"1983"	0	58	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Female"	"F"	"1984"	"1984"	0	59	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Female"	"F"	"1985"	"1985"	1	60	1666.7 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Female"	"F"	"1986"	"1986"	0	61	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Female"	"F"	"1987"	"1987"	1	62	1612.9 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Female"	"F"	"1988"	"1988"	0	65	0.0 (Unreliable)
"Total"	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Female"	"F"			2	582	343.6 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Male"	"M"	"1979"	"1979"	0	46	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Male"	"M"	"1980"	"1980"	0	47	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Male"	"M"	"1981"	"1981"	0	47	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Male"	"M"	"1982"	"1982"	0	46	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Male"	"M"	"1983"	"1983"	0	45	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Male"	"M"	"1984"	"1984"	0	45	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Male"	"M"	"1985"	"1985"	1	45	2222.2 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Male"	"M"	"1986"	"1986"	0	46	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Male"	"M"	"1987"	"1987"	0	46	0.0 (Unreliable)
	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Male"	"M"	"1988"	"1988"	2	46	4347.8 (Unreliable)
"Total"	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"	"Male"	"M"			3	459	653.6 (Unreliable)
"Total"	"Alexander County, NC"	"37003"	"Black or African American"	"2054-5"					5	1041	480.3 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Female"	"F"	"1979"	"1979"	8	697	1147.8 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Female"	"F"	"1980"	"1980"	5	722	692.5 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Female"	"F"	"1981"	"1981"	6	752	797.9 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Female"	"F"	"1982"	"1982"	5	782	639.4 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Female"	"F"	"1983"	"1983"	5	805	621.1 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Female"	"F"	"1984"	"1984"	6	823	729.0 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Female"	"F"	"1985"	"1985"	11	843	1304.9 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Female"	"F"	"1986"	"1986"	5	868	576.0 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Female"	"F"	"1987"	"1987"	5	892	560.5 (Unreliable)
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Female"	"F"	"1988"	"1988"	5	915	546.4 (Unreliable)
"Total"	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Female"	"F"			61	8099	753.2
	"Alexander County, NC"	"37003"	"White"	"2106-3"	"Male"	"M"	"1979"	"1979"	10	576	1736.1 (Unreliable)
