1	2.34
2	0.9037
3	2.927
4	3.399
5	3.009
6	4.291
7	0.8108
8	2.083
9	1.852
10	2.731
11	4.98
12	2.914
13	2.868
14	3.365
15	2.768
16	3.272
17	3.167
18	3.405
19	1.893
20	1.01
21	2.755
22	1.671
23	1.262
24	2.618
25	1.676
26	4.649
27	3.178
28	1.091
29	2.151
30	2.688
31	2.605
32	1.728
33	2.723
34	0.9338
35	2.503
36	1.981
37	1.769
38	1.815
39	1.755
40	1.959
41	3.199
42	3.221
43	2.802
44	2.519
45	2.455
46	1.814
47	2.885
48	1.655
49	5.347
50	3.183
51	2.832
52	1.803
53	1.881
54	1.689
55	4.124
56	4.578
57	3.847
58	3.137
59	2.038
60	3.18
61	5.429
62	2.705
63	1.853
64	2.342
65	2.585
66	1.619
67	2.908
68	1.823
69	1.142
70	3.458
71	4.269
72	1.96
73	3.379
74	2.201
75	1.922
76	0.9269
77	2.991
78	1.765
79	4.451
80	5.257
81	2.762
82	2.317
83	0.7129
84	1.723
85	1.53
86	0.7938
87	0.9566
88	2.117
89	1.466
90	2.429
91	2.151
92	2.298
93	1.491
94	3.558
95	2.803
96	2.299
97	2.902
98	2.117
99	1.046
100	2.956
101	2.648
102	2.59
103	3.037
104	2.089
105	3.472
106	1.357
107	2.999
108	3.416
109	3.773
110	2.152
111	1.89
112	2.761
113	2.584
114	2.887
115	1.847
116	1.862
117	3.236
118	1.843
119	3.713
120	6.455
121	2.617
122	2.169
123	3.908
124	1.852
125	2.841
126	1.436
127	2.087
128	1.412
129	2.157
130	2.45
131	2.437
132	5.205
133	3.657
134	2.517
135	2.162
136	1.301
137	2.515
138	1.952
139	4.542
140	3.843
141	6.301
142	5.032
143	3.077
144	1.021
145	3.086
146	2.186
147	1.045
148	3.001
149	3.522
150	1.905
151	0.9564
152	1.996
153	2.061
154	2.6
155	0.8556
156	0.8904
157	2.152
158	2.983
159	2.491
160	2.979
161	3.389
162	4.38
163	4.833
164	2.375
165	3.097
166	3.409
167	1.599
168	3.339
169	3.043
170	2.648
171	3.868
172	5.395
173	2.335
174	2.393
175	3.931
176	5.896
177	4.019
178	2.97
179	3.49
180	4.699
181	2.696
182	3.084
183	3.001
184	0.8809
185	3.445
186	3.536
187	2.911
188	1.583
189	2.021
190	2.309
191	4.133
192	1.423
193	4.082
194	3.387
195	4.091
196	1.908
197	2.379
198	2.426
199	2.527
200	2.669
201	2.046
202	3.537
203	2.036
204	3.809
205	3.952
206	1.944
207	5.546
208	2.88
209	2.68
210	1.44
211	2.835
212	1.247
213	3.015
214	4.078
215	6.383
216	2.095
217	5.67
218	3.229
219	2.739
220	3.229
221	2.482
222	0.6945
223	7.142
224	4.493
225	2.065
226	5.307
227	4.246
228	1.652
229	2.42
230	3.999
231	2.851
232	1.253
233	0.76
234	1.072
235	2.047
236	1.976
237	3.051
238	2.501
239	3.434
240	4.01
241	2.764
242	1.933
243	1.654
244	1.493
245	4.856
246	2.572
247	2.077
248	2.476
249	1.67
250	4.672
251	1.484
252	1.317
253	1.819
