1	1.884
2	-0.413
3	0.5908
4	-1.025
5	-1.974
6	0.7103
7	-0.2441
8	1.069
9	1.234
10	0.238
11	-0.459
12	-0.05701
13	-1.157
14	-0.1617
15	2.162
16	0.4397
17	-1.152
18	0.003435
19	-0.609
20	-0.7684
21	0.7789
22	-0.473
23	-0.6774
24	-0.09575
25	-0.626
26	0.1852
27	-0.6128
28	0.1816
29	0.4276
30	0.03237
31	1.116
32	0.5778
33	0.5162
34	-0.3067
35	0.3143
36	-0.4654
37	-0.9319
38	1.475
39	-0.4949
40	-0.4603
41	1.539
42	0.5558
43	0.2171
44	0.2482
45	-0.9742
46	-0.1544
47	0.05203
48	-0.2022
49	-0.07127
50	-0.2933
51	-0.7462
52	-0.2767
53	1.02
54	-0.4564
55	-0.1859
56	0.8716
57	-1.132
58	0.8131
59	1.423
60	1.13
61	0.7231
62	-0.1786
63	0.2431
64	-0.3479
65	-0.2222
66	0.2212
67	-0.3962
68	0.008076
69	-0.6334
70	1.53
71	1.023
72	-0.648
73	0.7032
74	0.6951
75	3.908
76	-1.034
77	0.2516
78	-0.8671
79	1.62
80	1.525
81	0.008206
82	1.345
83	-0.978
84	0.3312
85	0.845
86	1.784
87	-0.8378
88	1.35
89	-1.203
90	-0.02848
91	-0.2327
92	0.0653
93	-0.7709
94	-0.05419
95	0.2157
96	1.367
97	-1.375
98	-1.365
99	0.2405
100	-0.1974
101	0.5185
102	-2.045
103	0.399
104	3.322
105	1.641
106	-0.2311
107	0.2334
108	-0.2722
109	1.822
110	-0.3817
111	0.1465
112	-0.3762
113	-0.1406
114	1.031
115	1.383
116	0.8132
117	1.395
118	-0.08813
119	0.2033
120	-0.4331
121	1.176
122	0.1618
123	-0.4825
124	-0.1718
125	0.7236
126	0.2668
127	0.1583
128	0.7201
129	1.042
130	1.362
131	0.203
132	-0.7177
133	0.2923
134	0.2153
135	-0.01325
136	0.255
137	0.6988
138	-0.1968
139	-0.182
140	-0.9159
141	0.1302
142	-0.05821
143	-0.9804
144	0.1247
145	0.9941
146	-0.5244
147	0.4873
148	-0.8191
149	0.4277
150	-0.2215
151	-0.6957
152	-2.141
153	1.419
154	0.4552
155	1.047
156	2.552
157	-0.6051
158	0.1406
159	0.3673
160	-0.2232
161	0.5441
162	0.2782
163	0.9761
164	0.4856
165	0.3957
166	-0.2888
167	-0.5255
168	0.6066
169	1.047
170	-0.007743
171	-0.1674
172	-1.043
173	-1.569
174	0.3715
175	-0.4502
176	-0.39
177	-0.5665
178	-0.3924
179	-0.9531
180	-0.2616
181	-0.1567
182	-0.3319
183	0.7865
184	-0.3795
185	-0.3093
186	-0.8487
187	-0.5176
188	-0.8455
189	-1.532
190	-0.113
191	0.5921
